96935	
	(-0.003723475525,-0.002727948127)	(0.0006668829505,0.0004901734736)	(-0.0009448613411,-0.0006923316487)	(-0.003516462689,-0.002576312685)	(0.000743408206,0.0005460839151)
	(-0.0008053115737,-0.0005900734863)	(-0.003471934988,-0.002543780541)	(0.000656513081,0.0004824109603)	(-0.00345286309,-0.002529708259)	(0.0007777087984,0.0005711601212)
	(-0.003423689533,-0.002508391319)	(0.0007239660322,0.0005317783849)	(-0.003352373511,-0.002456283674)	(0.0005924237999,0.000435376867)	(-0.003383869274,-0.002479304451)
	(0.0006464411298,0.0004749670975)	(-0.003215761157,-0.002355706114)	(0.001184100304,0.000868684772)	(-0.003161475137,-0.002315942374)	(0.001184957848,0.0008692822402)
	(-0.00313727812,-0.002298172758)	(0.001245825578,0.000913857212)	(-0.003197315887,-0.002342164536)	(0.001226318676,0.000899600372)	(-0.0003655857147,-0.0002679130949)
	(-0.00338394315,-0.00247896306)	(0.001090428844,0.0008001656635)	(-0.0005051895803,-0.0003701976364)	(-0.003243066861,-0.002375773262)	(0.001100088294,0.0008071606659)
	(-0.003179066931,-0.002328859613)	(0.001147300286,0.0008417074029)	(-0.003308695707,-0.002423827639)	(0.001118977143,0.0008210333347)	(-0.00323173828,-0.002367441988)
	(0.001144671244,0.0008398115267)	(-0.0004168014288,-0.0003054335376)	(-0.003318143475,-0.002430782958)	(0.001074572032,0.0007885129977)	(-0.003361518293,-0.002462574528)
	(0.001046437906,0.0007679303276)	(-0.003340410586,-0.002447151763)	(0.001002961047,0.0007360713633)	(-0.0005348894576,-0.000391949607)	(-0.003456764646,-0.002532404327)
	(0.0009588357059,0.000703823261)	(-0.0006151156323,-0.0004507332258)	(-0.003389101227,-0.002482986686)	(0.00080796429,0.0005932757388)	(-0.0006950958069,-0.0005093183471)
	(-0.003305283363,-0.002421463412)	(0.0009589387432,0.0007038058836)	(-0.003361710464,-0.00246280793)	(0.0009394544391,0.0006895695113)	(-0.003398408631,-0.002489646709)
	(0.0009838328329,0.0007220965845)	(-0.003360540687,-0.002462118363)	(0.0007496074836,0.0005505157185)	(-0.00329769928,-0.002415845846)	(0.001032854249,0.0007579435176)
	(-0.003422319727,-0.002507247861)	(0.0008791571499,0.0006454440441)	(-0.003331136339,-0.002440484713)	(0.0008682930069,0.0006374280578)	(-0.003265442481,-0.00239275824)
	(0.0004584586791,0.0003371827017)	(-0.003326940566,-0.002437706549)	(0.0005435532903,0.0003995628163)	(-0.003298427695,-0.002416868076)	(0.0005037229954,0.0003703612594)
	(-0.003218708137,-0.002358526281)	(0.0004684585907,0.0003444607738)	(-0.003103905933,-0.002273759344)	(0.001201816572,0.0008816015412)	(-0.003027137531,-0.002217514547)
	(0.00121707334,0.0008927366133)	(-0.003075219474,-0.002252703964)	(0.001262973179,0.0009263866916)	(-0.0003069132433,-0.0002249223933)	(-0.003021959841,-0.00221369626)
	(0.001252455143,0.000918653813)	(-0.003032313208,-0.002221261412)	(0.001287636497,0.000944434448)	(-0.003060696442,-0.002242049067)	(0.001293029279,0.0009483997325)
	(-0.003007384627,-0.002202987469)	(0.001347756169,0.0009884763119)	(-0.003012224482,-0.002206535685)	(0.001318182462,0.0009668059135)	(-0.003040476638,-0.002227227243)
	(0.001323601885,0.000970790665)	(-0.0002807064293,-0.0002057246589)	(-0.002979332734,-0.002182442449)	(0.001341570368,0.0009839302501)	(-0.002974185145,-0.002178731292)
	(0.001205800568,0.0008844512634)	(-0.002931473427,-0.002147397507)	(0.00136369037,0.001000124758)	(-0.003049256459,-0.002233662342)	(0.001389599657,0.001019166103)
	(-0.002855587631,-0.002091850835)	(0.001395911978,0.001023721895)	(-0.002989474035,-0.002189877513)	(0.001377495549,0.001010268173)	(-0.002887446178,-0.002115184252)
	(0.001403453259,0.00102926316)	(-0.002960473616,-0.002168637315)	(0.001370910731,0.001005429255)	(-0.0002538007045,-0.0001860135431)	(-0.002914536066,-0.002135025994)
	(0.001410949995,0.001034770022)	(-0.002942948221,-0.00215583576)	(0.001417207851,0.001039369629)	(-0.003019135831,-0.002211601973)	(0.001383482477,0.001014669475)
	(-0.0002687128007,-0.0001969426304)	(-0.003079740276,-0.002255988596)	(0.001394950501,0.001023101696)	(-0.000283180665,-0.0002075464507)	(-0.002970699216,-0.002176161718)
	(0.001423661186,0.001044112528)	(-0.00311119254,-0.002279024033)	(0.001400105241,0.001026893615)	(-0.002997590782,-0.002195857995)	(0.001429054349,0.001048078014)
	(-0.00388675017,-0.002847491111)	(0.0006542917977,0.0004810487638)	(-0.003883308067,-0.002844911866)	(0.0007300670579,0.0005365341758)	(-0.000921373794,-0.0006751387752)
	(-0.003939922201,-0.00288637878)	(0.0007043657761,0.0005177431503)	(-0.003949081509,-0.002893034517)	(0.0007684027258,0.0005646379298)	(-0.003903373399,-0.002859556274)
	(0.0007883591803,0.0005792292088)	(-0.003762204363,-0.00275605562)	(0.0009737189742,0.0007148950267)	(-0.003711019874,-0.002718586791)	(0.0009606767245,0.000705316159)
	(-0.0006930674411,-0.0005078628786)	(-0.00370127691,-0.002711389184)	(0.001040472986,0.0007637494894)	(-0.003762652907,-0.002756351035)	(0.001015906811,0.0007457904602)
	(-0.003815892907,-0.002795324805)	(0.001027015527,0.0007539522776)	(-0.003811864408,-0.002792442656)	(0.0009383849625,0.000689045164)	(-0.003861704922,-0.002828901441)
	(0.0009831958116,0.000721885186)	(-0.003813684644,-0.002793740671)	(0.0009830935441,0.0007217866956)	(-0.0006978886084,-0.0005114030706)	(-0.003809248873,-0.002790562609)
