96935	
	(0.001427448003,-0.0006418113516)	(-0.0007041908561,-0.001407253186)	(-0.0001107248219,-0.0002342999027)	(0.0001694423597,-0.001462297085)	(-0.00153610552,-0.0001457662079)
	(3.995200715e-005,-4.507688367e-005)	(3.355178035e-005,-0.0008927830374)	(-0.0009582786822,1.438439807e-005)	(-0.0003488084092,-0.001541168915)	(-0.001612161536,0.0003393930985)
	(-0.0003461667825,-0.001094767263)	(-0.001163629462,0.0003454148647)	(-0.0002726441476,-0.0004117030108)	(-0.0004642710596,0.0002750822327)	(-0.0002897905632,-0.0006311489436)
	(-0.0006998656849,0.0002841846605)	(-0.01000944203,-0.001574169912)	(-0.001664341221,0.01003630439)	(-0.01020844292,0.0008949734613)	(0.0008238952124,0.01028846526)
	(-0.01340162786,0.001974974349)	(0.00184481519,0.01352334075)	(-0.01216227558,-0.001325013914)	(-0.001370715884,0.01224909318)	(0.002093185348,0.0008006773791)
	(-0.004175636204,-0.005118567847)	(-0.005242597263,0.004236599791)	(0.0004685779078,0.0008131977762)	(-0.006614541214,-0.001608734581)	(-0.001769130931,0.006582726887)
	(-0.008462773759,0.0003362448607)	(0.0001734889508,0.008698885514)	(-0.006356437605,-0.003827110478)	(-0.003936068222,0.00651512243)	(-0.008134193164,-0.001667614143)
	(-0.001811036171,0.008304256144)	(0.001393102929,0.0005244031001)	(-0.005074145072,-0.003317897153)	(-0.003389585409,0.005126503791)	(-0.003793375106,-0.003823216943)
	(-0.003935349627,0.003874403992)	(-0.003433232967,-0.002769624295)	(-0.002811700337,0.003558094151)	(0.0005268414723,0.000387382017)	(-0.001249082178,-0.003621105322)
	(-0.003733681943,0.001245853149)	(0.0001016085734,0.0003795047795)	(-0.0009575243322,-0.001457320467)	(-0.00152380787,0.0009736567422)	(0.0002675170388,1.721883824e-005)
	(-0.003042887081,-0.001714755459)	(-0.001742471069,0.003073255399)	(-0.002230421229,-0.002282758489)	(-0.002414631008,0.002273767323)	(-0.00237667155,-0.00333994199)
	(-0.003413118203,0.002446087127)	(-0.0008049776311,-0.0009620143023)	(-0.001019050819,0.000820205421)	(-0.004409322645,-0.002250103114)	(-0.002375046068,0.004432475221)
	(-0.001097475804,-0.002341802328)	(-0.002394736411,0.001155181482)	(-0.001719669455,-0.001296636601)	(-0.00147774455,0.001735833953)	(-0.0001166689423,-0.000106944489)
	(-0.0001713365485,8.94659874e-005)	(-0.0001989008757,-0.0002732710017)	(-0.000341111481,0.0001964838057)	(-0.0001629226418,-0.0001763345854)	(-0.00021175413,0.0001640777345)
	(-0.0001514720635,-4.309018343e-005)	(-7.888354734e-005,0.0001369554407)	(-0.01088230317,0.003772921395)	(0.003625322839,0.0109002574)	(-0.01007976049,0.00789679248)
	(0.00775417274,0.01021136284)	(-0.01392861173,0.00574297475)	(0.005523353425,0.01413188121)	(0.00287732207,-0.0002245290549)	(-0.0121430666,0.009003719788)
	(0.008848708159,0.01221388099)	(-0.01493374966,0.008662103272)	(0.008559933647,0.01514318801)	(-0.0159870515,0.006667502357)	(0.006471380043,0.01611395184)
	(-0.01995526269,0.009114663337)	(0.009083818794,0.02025589584)	(-0.0170473875,0.009854210015)	(0.009809649417,0.0172878746)	(-0.01828884835,0.007587011368)
	(0.007481661113,0.01843615473)	(0.003778089495,-0.000247266243)	(-0.01851817852,0.01159095194)	(0.01158465087,0.01882432156)	(-0.007906359255,0.01024934086)
	(0.009918673732,0.007914196579)	(-0.01997896452,0.01368296551)	(0.01384199649,0.02024943303)	(-0.02436505515,0.001223285701)	(0.001364808375,0.02483949437)
	(-0.02261615064,0.01538565288)	(0.01591751251,0.02323190549)	(-0.02301898428,0.007780666985)	(0.007960465941,0.02340296735)	(-0.02471006952,0.0117549807)
	(0.01223082137,0.02537014188)	(-0.02167033681,0.01082568684)	(0.01098613211,0.02205566029)	(0.004524380062,-0.0004290076308)	(-0.02614997296,0.008277518167)
	(0.008720644445,0.0269441215)	(-0.02707144599,0.004601418005)	(0.004955923892,0.02790216648)	(-0.02390291879,0.004551771296)	(0.004719840923,0.02434413992)
	(0.004373341945,0.0007401569845)	(-0.02436676918,-0.002135238402)	(-0.002100771539,0.02485260906)	(0.003915198752,0.00186093283)	(-0.02751851687,0.0008424177209)
	(0.001136857253,0.02847132832)	(-0.0239025591,-0.005495979212)	(-0.005459499893,0.02440714214)	(-0.02745476923,-0.002781732756)	(-0.002556632884,0.02841469738)
	(0.002011910486,0.0004238037122)	(0.0003968136597,-0.001966801356)	(0.002653516825,0.0002430917564)	(0.0002034243535,-0.002615582884)	(-0.0002443063231,-0.0004822496629)
	(0.00251294699,0.0008242512063)	(0.0008060406126,-0.002495173554)	(0.003242465206,0.0008525707938)	(0.0008119910947,-0.00320307232)	(0.00337184068,0.0002608385941)
	(0.0002039053816,-0.003330609568)	(0.004373943478,-0.003233159614)	(-0.003320658522,-0.00435719465)	(0.003301614702,-0.003601536707)	(-0.003675224799,-0.00326411119)
	(-0.0006486489602,3.179158735e-005)	(0.004061965467,-0.005336423786)	(-0.005349089768,-0.003982122855)	(0.005037155572,-0.003941228712)	(-0.004006061367,-0.004944343891)
	(0.006313307831,-0.003280771028)	(-0.003308699296,-0.006181779203)	(0.00462235374,-0.002067046434)	(-0.002077064219,-0.004591177328)	(0.006090444148,-0.001765866403)
	(-0.00179447316,-0.00600259145)	(0.005420731764,-0.00264208626)	(-0.002608766906,-0.005317140621)	(-0.0009408155248,-0.0002735467757)	(0.003971592832,-0.001590655798)
	(-0.001641796926,-0.003905914106)	(-0.0006028915372,-0.0003112037334)	(0.005174261456,-0.001301447421)	(-0.001353634163,-0.005142272972)	(0.00421873738,-0.0006852330166)
	(-0.0007429085984,-0.004143823012)	(0.005267899724,0.0007525273856)	(0.0007224351115,-0.00521811069)	(0.004274372487,0.0002838290567)	(0.0002115934796,-0.004203640934)
	(-0.0004959031328,-0.0006263471315)	(0.00414300945,0.001028707796)	(0.0009857119949,-0.004087823002)	(0.005333590726,-0.0001271223229)	(-0.0001540596669,-0.005313426636)
	(-0.009298680666,-0.01283116889)	(-0.01288333723,0.009444724398)	(-0.01135901251,-0.01383458893)	(-0.01393415959,0.01148936523)	(-0.01324193018,-0.01198705547)
	(-0.01210424758,0.01343592641)	(-0.01132836737,-0.01099117057)	(-0.01104328794,0.01142502457)	(0.001119958899,0.002242392021)	(-0.00379344811,-0.01549311004)
	(-0.01553771348,0.003899611572)	(-0.006646413082,-0.01677919097)	(-0.01687109274,0.006877508183)	(-0.006972124973,-0.01434977859)	(-0.01434251729,0.007095775332)
	(9.692037537e-005,0.002567725)	(-0.00888395563,-0.01567481762)	(-0.01576651681,0.008988168211)	(-0.00296861621,-0.01788478907)	(-0.01801301483,0.003143200177)
	(-0.01753616422,-0.0138720264)	(-0.01405512336,0.01787430957)	(-0.0153806114,-0.01301159868)	(-0.01316606534,0.01568782304)	(0.001570685069,0.002954520179)
	(-0.01338136869,-0.01518845265)	(-0.01534337526,0.01361590231)	(-0.01547388047,-0.01622862377)	(-0.01638469622,0.01584628778)	(-0.02688468964,-0.006524353762)
	(-0.0064227733,0.02791574498)	(-0.02575377128,-0.01021909789)	(-0.01019147503,0.02680481685)	(-0.02293849528,-0.008795054307)	(-0.008824565797,0.02347764569)
	(0.003134191089,0.002846998643)	(-0.02159277314,-0.0118756499)	(-0.01191946632,0.02218063371)	(-0.01980250654,-0.01478062958)	(-0.01488078054,0.02032050673)
	(0.002170824928,0.003587742527)	(-0.02419468135,-0.01369081282)	(-0.01381634503,0.02524340238)	(-0.02208768945,-0.01694913395)	(-0.01717108237,0.02313588567)
	(-0.01762973269,-0.01744568014)	(-0.01754070403,0.01816874602)	(0.004283975439,-0.009951403214)	(-0.01004371524,-0.004191756043)	(0.006673436871,-0.007787921481)
	(-0.007892124788,-0.006612286783)	(0.005550980305,-0.009068887971)	(-0.009040730358,-0.005488889864)	(0.008102446084,-0.005698747422)	(-0.005714291997,-0.008042399633)
	(0.006215062861,-0.005978868026)	(-0.005992393831,-0.006199224357)	(0.004759016201,-0.007601912125)	(-0.007629312842,-0.004762988473)	(-0.00122678171,0.0005333618416)
	(-0.0004008070235,-0.01601081526)	(-0.0160745788,0.0004229447542)	(-0.001040244504,0.002248693921)	(0.001890304875,-0.01809770454)	(-0.01826027248,-0.001782821954)
	(0.001620365953,-0.01432715198)	(-0.0143347895,-0.001577531995)	(-0.0006140725205,-0.01817071623)	(-0.01825032656,0.0006642785196)	(0.00495852487,-0.01171100265)
	(-0.01178860246,-0.004893266649)	(0.003992188797,-0.01594463832)	(-0.0159813663,-0.003814476758)	(0.00326636685,-0.01255503217)	(-0.01262396454,-0.003166083594)
	(-0.001450455857,0.001447247736)	(0.005691936846,-0.01365801266)	(-0.01369159307,-0.005584726824)	(-3.150650793e-005,-2.522262207e-005)	(-1.406775861e-005,8.062221754e-007)
