96935	
	(-0.005715769992,0.0006997692346)	(-0.0009561061611,0.0001197187902)	(-0.005679211836,0.0006952114546)	(-0.001007924447,0.0001260743905)	(-0.00582614311,0.0007134261175)
	(-0.001040651208,0.000130149785)	(-0.005716364689,0.0006998007183)	(-0.001046051246,0.000130778643)	(-0.005790822199,0.0007090068203)	(-0.001104763952,0.0001380211297)
	(-0.005757683677,0.0007049509656)	(-0.0009961201257,0.0001246506488)	(-0.001202762755,0.0001473438574)	(-0.005656375963,0.0006925371001)	(-0.0007535910837,9.478899899e-005)
	(-0.001019464232,0.0001248939697)	(-0.005592370878,0.0006845692301)	(-0.0007774325648,9.768939815e-005)	(-0.005630631543,0.0006894090948)	(-0.0006734846391,8.492989875e-005)
	(-0.005590408574,0.0006843947752)	(-0.0006864607502,8.650871564e-005)	(-0.005491443944,0.0006720924105)	(-0.0007137520784,8.979428753e-005)	(-0.005532561569,0.0006771990072)
	(-0.0007031718851,8.852093232e-005)	(-0.005601379314,0.0006864346792)	(-0.0002047174706,2.733172875e-005)	(-0.005558305318,0.0006811537402)	(-0.0001640172106,2.23156861e-005)
	(-0.005551312581,0.0006803876286)	(-0.0001059722776,1.518969276e-005)	(-0.005592473937,0.0006854026314)	(-0.0001618922737,2.207367145e-005)	(-0.0004393471228,5.378705269e-005)
	(-0.005694612983,0.0006977308119)	(-0.000395180145,5.076822975e-005)	(-0.0006243259919,7.645619795e-005)	(-0.005597223708,0.0006857936571)	(-0.0002827201828,3.690756131e-005)
	(-0.005563815441,0.0006817682581)	(-0.0002007508375,2.682581975e-005)	(-0.005652587027,0.0006926155467)	(-0.0003175597934,4.121285235e-005)	(-0.005600809538,0.0006863014292)
	(-0.0002415054337,3.184853372e-005)	(-0.0005082387463,6.223327142e-005)	(-0.0056439532,0.000691487173)	(-0.0003565997075,4.600530986e-005)	(-0.005666600652,0.0006942258962)
	(-0.0004090206507,5.245386339e-005)	(-0.005639503055,0.0006908344566)	(-0.0004226591789,5.411102303e-005)	(-0.0006646552732,8.140443862e-005)	(-0.005702589443,0.0006985172818)
	(-0.0005472005697,6.944457471e-005)	(-0.0007697222532,9.427817446e-005)	(-0.005601624723,0.0006858795788)	(-0.0005974961633,7.557235632e-005)	(-0.0008754554535,0.0001072463094)
	(-0.005599326045,0.0006858263906)	(-0.000426151255,5.452024197e-005)	(-0.00563071966,0.0006896497618)	(-0.0004843227874,6.168688663e-005)	(-0.005672232533,0.000694821021)
	(-0.0004813914614,6.134404993e-005)	(-0.005560987873,0.0006808172547)	(-0.000618378925,7.810936354e-005)	(-0.005617487325,0.0006881738188)	(-0.00036905107,4.751740152e-005)
	(-0.005650500818,0.0006919955537)	(-0.0005770206464,7.308172385e-005)	(-0.00558336829,0.0006837157061)	(-0.0005072428416,6.447446685e-005)	(-0.00537850187,0.0006580689938)
	(-0.000717600151,9.020635415e-005)	(-0.005456470598,0.0006677516392)	(-0.0007209990571,9.066851311e-005)	(-0.005422076064,0.0006634755481)	(-0.0007175779046,9.021736201e-005)
	(-0.005366389314,0.0006565944902)	(-0.0006598716911,8.304150923e-005)	(-0.005518880436,0.0006763530978)	(-0.0001134366862,1.608484396e-005)	(-0.005458114998,0.0006689316242)
	(-4.920577134e-005,8.172802549e-006)	(-0.005496603029,0.0006737058843)	(-5.183447453e-005,8.523080301e-006)	(-0.0003625838602,4.438206434e-005)	(-0.005455004529,0.0006686008372)
	(-2.347576873e-005,5.019251024e-006)	(-0.005445243386,0.0006674384371)	(-9.174049628e-006,3.275922506e-006)	(-0.005468221287,0.0006702588081)	(-2.522349555e-005,5.258177065e-006)
	(-0.005318988882,0.0006519840779)	(3.310307116e-005,-1.903476926e-006)	(-0.00538916415,0.0006605840434)	(1.959624861e-005,-2.545569537e-007)	(-0.005411952044,0.0006633813707)
	(3.19478315e-006,1.770796439e-006)	(-0.0003262013441,3.992025389e-005)	(-0.005297003029,0.0006492852787)	(4.861667115e-005,-3.819838749e-006)	(-0.005414715185,0.0006636061289)
	(-2.307545826e-005,4.941954344e-006)	(-0.005142078549,0.000630267531)	(7.850289185e-005,-7.492845963e-006)	(-0.005226895148,0.0006406773495)	(1.182211223e-005,7.42831869e-007)
	(-0.004826295111,0.0005914717164)	(0.000115335261,-1.201575388e-005)	(-0.005183842477,0.0006353932276)	(4.682809829e-005,-3.579418626e-006)	(-0.004850823809,0.0005944823846)
	(9.714706758e-005,-9.768967622e-006)	(-0.005163475586,0.0006328937142)	(6.311952763e-005,-5.591848005e-006)	(-0.0002892809511,3.53937678e-005)	(-0.004865224895,0.0005962489569)
	(8.188981443e-005,-7.883544964e-006)	(-0.004883094764,0.0005984417083)	(6.444060166e-005,-5.729050695e-006)	(-0.005204839991,0.0006379702154)	(2.914956647e-005,-1.396765977e-006)
	(-0.0003083085214,3.772288887e-005)	(-0.005248904115,0.0006433788053)	(-7.183642241e-006,3.088442054e-006)	(-0.0003263584318,3.993190615e-005)	(-0.004897441543,0.0006002016042)
	(4.710478716e-005,-3.588501311e-006)	(-0.005272833685,0.0006463164053)	(-2.60155443e-005,5.412396075e-006)	(-0.004912279535,0.0006020220672)	(2.976567749e-005,-1.448427771e-006)
	(-0.005862333018,0.0007178597209)	(-0.001152993082,0.0001439718081)	(-0.005897217016,0.0007222348667)	(-0.001086784048,0.0001358418906)	(-0.001174564988,0.0001438763684)
	(-0.005924961713,0.0007256368578)	(-0.001156717323,0.0001444471503)	(-0.005964242117,0.000730546861)	(-0.001110619199,0.0001387888862)	(-0.005940508747,0.0007276355214)
	(-0.001055231258,0.0001319741147)	(-0.005922836856,0.0007256514707)	(-0.00078508132,9.876602062e-005)	(-0.005880983775,0.0007204811714)	(-0.0007535490628,9.487663657e-005)
	(-0.0008728131082,0.0001068989254)	(-0.005907611959,0.0007238580316)	(-0.0006845429061,8.640469009e-005)	(-0.005941059167,0.0007279461616)	(-0.0007525603389,9.477439137e-005)
	(-0.005985236089,0.0007334023152)	(-0.0007883117567,9.918048718e-005)	(-0.005942762872,0.0007280697052)	(-0.0008557126399,0.0001074526621)	(-0.005999226917,0.000735077981)
	(-0.0008606470616,0.0001080743653)	(-0.005963567165,0.0007306845079)	(-0.0008220168855,0.0001033171613)	(-0.0008801969966,0.0001077979799)	(-0.005921211836,0.000725362778)
	(-0.0008919440547,0.0001118977826)	(-0.0009728579996,0.0001191566931)	(-0.005978215767,0.0007324374164)	(-0.0008948578991,0.0001122732401)	(-0.005952918476,0.0007292507761)
	(-0.0009558245601,0.0001197587251)	(-0.006034001894,0.0007392805196)	(-0.001010398886,0.0001264880069)	(-0.00598230606,0.0007328547526)	(-0.001023240788,0.0001280513485)
