96935	
	(-8.789244385e-005,-0.0002554112809)	(-0.0001309502931,0.0001171237936)	(-9.078317329e-005,-0.0002648367483)	(-0.0001068558749,8.044057123e-005)	(-7.423016003e-005,-0.0002331435806)
	(8.488649742e-006,-1.730216647e-007)	(-9.168515257e-005,-0.0002557107902)	(-4.79393897e-005,2.631655371e-005)	(-8.708312877e-005,-0.0002425942868)	(5.937981176e-005,-1.291376645e-005)
	(-8.042708618e-005,-0.0002478715659)	(-8.5157937e-005,4.731361939e-005)	(0.00229151768,-0.0008805113246)	(-9.925342705e-005,-0.0002373354744)	(-9.155624937e-005,0.0003858231266)
	(0.001942068037,-0.0007556491427)	(-0.0001082344981,-0.0002552854803)	(-6.03931949e-005,0.0003987262436)	(-0.0001045398593,-0.0002233584584)	(2.690507922e-005,0.0004435374906)
	(-0.0001074968053,-0.000234909931)	(6.03428181e-005,0.00043765533)	(-0.0001119644815,-0.0002493531556)	(0.0001177386648,0.0003818201603)	(-0.0001141222697,-0.0002408240543)
	(9.205381231e-005,0.0004021795433)	(1.955228852e-005,0.0001419988112)	(0.0006264166585,9.42210045e-005)	(0.0001289291394,9.12219434e-005)	(0.000541008403,-0.000135960481)
	(0.0002912890496,0.0002024081752)	(0.0006406269958,-0.000309267056)	(8.391923179e-005,0.0002499597313)	(0.0007310184905,3.909121052e-007)	(0.0008782467081,-0.0004810290916)
	(-0.0001836828499,-0.0001029359018)	(0.0002769938788,0.000550434474)	(0.001259161557,-0.0005167760157)	(-5.383287108e-005,-1.366847989e-005)	(0.0004842281855,0.0002012311935)
	(5.743210105e-005,3.345128677e-005)	(0.000508111437,-4.39820164e-005)	(-0.000129527476,-3.588111194e-006)	(0.0004627323582,0.0003877500611)	(-1.709320663e-005,4.563900578e-005)
	(0.0005468378868,0.0001531492747)	(0.001014068336,-0.0004741780381)	(-0.0001163002769,-6.106308722e-005)	(0.0003945570982,0.0003843555384)	(-0.0001406713175,-0.0001122928677)
	(0.0003044740729,0.0004762860387)	(-0.000107296285,-0.000124480148)	(0.0003270033691,0.0003984616956)	(0.001309039416,-0.000539264656)	(-0.0001262937063,-0.0001941748841)
	(6.709291453e-005,0.0005149422534)	(0.001506321372,-0.0005945819884)	(-0.0001027625265,-0.0002039012524)	(0.0001666181954,0.000437463932)	(0.001674436604,-0.0006655473358)
	(-8.961149869e-005,-0.0001367379783)	(0.0003414197503,0.000320473271)	(-0.0001075950463,-0.0001608230357)	(0.0002538800976,0.0004254100077)	(-0.0001236479428,-0.0001568667915)
	(0.0002076532241,0.0004822072868)	(-0.0001104910073,-0.0002116090626)	(0.0001847614416,0.0003971465169)	(-9.246691113e-005,-8.902423489e-005)	(0.0003926142828,0.0003207886095)
	(-0.0001097973078,-0.0001982877228)	(0.0001219784888,0.0004705263052)	(-0.0001000289314,-0.0001753710736)	(0.0002659609402,0.0003745002189)	(-0.0001317229867,-0.0002696062002)
