96935	
	(0.0003584807622,-0.000403431815)	(-0.0003490010254,-0.000409540141)	(0.0002235177521,-0.0006365778035)	(-0.0005937589852,-0.0002654755205)	(-0.001216712232,-0.00304055141)
	(-0.002975976058,0.001116948981)	(0.0003979502483,-0.0002409524407)	(-0.0001896806437,-0.0004338540139)	(0.0002496986403,-0.0001763665509)	(-0.0001284083005,-0.0002891187155)
	(0.000142293871,-0.000493803201)	(-0.0004241362163,-0.000198198878)	(0.0002319052159,-0.0003158484053)	(-0.000261256862,-0.0002860639183)	(-0.000306088722,0.0001136089182)
	(0.000152979452,-0.0001994192583)	(-0.0001441097218,-0.0002023769107)	(6.410497437e-005,-0.0003456357392)	(-0.0002913206577,-9.5751877e-005)	(-0.006850415991,0.005163703432)
	(0.005123847505,0.006604080775)	(-0.006718107101,0.003038228306)	(0.003258848253,0.006583353468)	(-0.002009804708,-0.003345628704)	(-0.003279667821,0.001959705161)
	(-0.002920008988,-0.002510585312)	(-0.002371341317,0.002791888987)	(-0.003661317415,-0.001393827768)	(-0.001345133035,0.003488226945)	(-0.004351439413,0.0004663515821)
	(0.0005535656429,0.004356144574)	(-0.005712225004,0.001076333853)	(0.001165612758,0.005606227542)	(-0.001203670417,-0.002181645555)	(-0.002087807122,0.001103787373)
	(-0.0002353483261,0.0006281145927)	(-0.0008954695312,-0.001491949635)	(-0.00139269673,0.0008480248222)	(-0.0003473094266,-0.00130984999)	(-0.001278438492,0.0002863784243)
	(0.0001087434471,-0.001014267961)	(-0.0009315237961,-0.000180279834)	(-0.001861003737,-0.001777630016)	(-0.001679845414,0.00179859131)	(-0.0003245786157,-0.00198761891)
	(-0.001904392379,0.0003337552988)	(-3.576994359e-005,-0.0004587775852)	(-0.000371150071,-1.715315341e-005)	(-0.00137910234,-0.001127092245)	(-0.001054494741,0.001243471564)
	(-0.0003139839397,-0.0008431493422)	(-0.0007542623071,0.0002246764533)	(-2.164093253e-005,-0.0006524370737)	(-0.0005868942204,-1.853654255e-005)	(-0.0003001683565,0.000248115032)
