96935	
	(0.0004136006195,0.0007021018678)	(0.0006579816744,-0.0003866052988)	(0.0002066855368,-0.0003946088449)	(0.0007930591435,-7.283136708e-005)	(-0.0001536082731,-0.000739399717)
	(0.0001281353586,-0.0003645382842)	(0.0004503042831,-5.357538791e-005)	(-0.0001503540618,-0.0003963063129)	(0.0007777634513,-0.0003887153291)	(-0.0004400789007,-0.0007659253196)
	(0.0005195455553,-0.0003188591295)	(-0.0003817299586,-0.0005265508904)	(0.0001609277295,-0.0001561846311)	(-0.0002224600935,-0.0001568049713)	(0.0002850104808,-0.0002159397513)
	(-0.0002826961879,-0.0002955906937)	(-0.00261566669,-0.007372561655)	(-0.007413948495,0.002743888552)	(-0.004726863521,-0.006303032096)	(-0.006415710526,0.00489028123)
	(-0.007250233011,-0.008435200094)	(-0.008598452485,0.007406868986)	(-0.003802494725,-0.009072116594)	(-0.00914807298,0.004021256417)	(0.0004733892196,0.001275651605)
	(0.002374494786,-0.003959202449)	(-0.004081723884,-0.002320866857)	(-0.0003229369232,8.67940964e-005)	(-0.001143971254,-0.004592753607)	(-0.004679275827,0.001118999738)
	(-0.003444495128,-0.005181347768)	(-0.005510279807,0.003618520995)	(0.0006508970368,-0.005286599312)	(-0.005485815134,-0.0005066194957)	(-0.001748935161,-0.005851995122)
	(-0.006072324989,0.001883074163)	(0.0003245999568,0.0005523549321)	(0.0006903224207,-0.004096805749)	(-0.004192887512,-0.0005914507264)	(0.001501499667,-0.003290252935)
	(-0.003434190089,-0.001438283018)	(0.0008079281073,-0.002731169391)	(-0.002864633161,-0.0006379321272)	(2.065083162e-005,-5.021463739e-005)	(0.00197794571,-0.00139884021)
	(-0.001463830363,-0.001956050582)	(-0.0001290988486,-0.0002873683091)	(0.0006097859423,-0.0007564528404)	(-0.0008409117582,-0.0005777437604)	(0.0001607665007,-0.0002822380352)
	(0.0002089377169,-0.002124131642)	(-0.002183044576,-0.0001211362253)	(0.0008333007644,-0.00173090099)	(-0.001858586297,-0.0008166561691)	(0.001509441353,-0.002136381061)
	(-0.002238614675,-0.001423151511)	(0.0003316932615,-0.0005197518768)	(-0.0006168175991,-0.0002751690635)	(0.0001278452567,-0.003229062015)	(-0.003343658741,-0.0001107787926)
	(0.001139692146,-0.001013022967)	(-0.001124776464,-0.001060103594)	(0.000311405355,-0.001129224057)	(-0.001265729555,-0.0003481489403)	(5.107390262e-005,-4.360242597e-005)
	(-0.0001020759005,-7.759854796e-005)	(0.0001107932764,-0.0001027275437)	(-0.0001733194989,-0.0001170859092)	(7.224133248e-005,-7.537091354e-005)	(-0.0001283256609,-6.818645451e-005)
	(1.143533203e-005,-4.539796947e-005)	(-9.187363673e-005,-2.582892427e-005)	(-0.007408361979,-0.005387402432)	(-0.005496475598,0.00748292393)	(-0.0102094696,-0.002282992598)
	(-0.002496989186,0.01040129814)	(-0.01075397122,-0.006787558103)	(-0.00711236479,0.01089926347)	(0.001820351567,0.00113048089)	(-0.01244266631,-0.003285238801)
	(-0.003428023799,0.01256773982)	(-0.01392422932,-0.005879162157)	(-0.006114650004,0.01421098458)	(-0.01283318824,-0.008039841911)	(-0.00824793921,0.01291743327)
	(-0.0176050421,-0.01017862031)	(-0.01043072355,0.01791267847)	(-0.01635514069,-0.00700656882)	(-0.007224647331,0.01669096632)	(-0.01509930284,-0.009590666438)
	(-0.009733413497,0.01527308023)	(0.002516589744,0.001925891519)	(-0.01893981258,-0.007205861713)	(-0.007469294413,0.01930774694)	(-0.01065518992,0.0009726014603)
	(0.0006911332785,0.01059838162)	(-0.0219812342,-0.007134887127)	(-0.007234408507,0.02237839609)	(-0.01270005743,-0.01921078561)	(-0.01942673803,0.01316627982)
	(-0.02564733968,-0.008391923279)	(-0.008660018524,0.02649229343)	(-0.0183498592,-0.01395280156)	(-0.01409923141,0.01882147916)	(-0.02353622861,-0.0129841427)
	(-0.01327931106,0.02430423396)	(-0.02038659496,-0.01067131507)	(-0.01087098456,0.02086918255)	(0.003231450812,0.002444649388)	(-0.02104187522,-0.01674183024)
	(-0.01715301704,0.02184566369)	(-0.0178872155,-0.01998575781)	(-0.02044503378,0.01859304136)	(-0.01571603781,-0.01679381592)	(-0.01698873137,0.01620869637)
	(0.002034068688,0.003257660178)	(-0.009323934266,-0.02104993088)	(-0.02133721301,0.009660393497)	(0.0006452910904,0.003646168103)	(-0.01431659455,-0.02270637465)
	(-0.02329211618,0.01502682552)	(-0.005668046997,-0.02233765282)	(-0.0226104463,0.006030019655)	(-0.01050793868,-0.02468963997)	(-0.02527391364,0.0111277721)
	(-0.0002399997579,0.001012767172)	(0.0009662125715,0.0002831356339)	(-0.0001744093643,0.001419149043)	(0.001381410637,0.0002124156648)	(0.0003626160344,-0.0004399079185)
	(-0.0005258028417,0.001277897144)	(0.001258298443,0.0005709360875)	(-0.0006110615351,0.001743178831)	(0.001708754308,0.0006478745519)	(-0.0002325483693,0.001891831665)
	(0.00184860923,0.0002605597911)	(0.00226692175,0.002697235453)	(0.002673768436,-0.002249440212)	(0.002506670204,0.001852949136)	(0.001813765859,-0.002471030125)
	(-2.519809405e-005,-0.0007749519547)	(0.0039285049,0.002376726792)	(0.002301722729,-0.003821900984)	(0.002823328007,0.003198395118)	(0.00310982059,-0.00277380396)
	(0.002296494615,0.004219693518)	(0.004102840871,-0.002220863127)	(0.001375348955,0.002871375071)	(0.002842072949,-0.001288194779)	(0.001104641496,0.003988449761)
	(0.003906976817,-0.001040588514)	(0.001808106487,0.003493223182)	(0.003399193341,-0.00167312964)	(0.0001884162841,-0.0009958067114)	(0.001029752434,0.002390871989)
	(0.00232666337,-0.0009864008534)	(0.0002336268131,-0.0007297523822)	(0.0007868374781,0.003262392187)	(0.003235181086,-0.000741654502)	(0.0003784197665,0.002529186724)
	(0.002467889896,-0.0003504568742)	(-0.0007486896449,0.003165317691)	(0.003132076866,0.000801773078)	(-0.0003192229108,0.002509718605)	(0.002446597259,0.0003333974909)
	(0.0004670879682,-0.0006127531392)	(-0.0008239198039,0.002337000189)	(0.002298732707,0.0008560172329)	(-0.0001051874973,0.003308457538)	(0.003291283232,0.0001689458225)
	(0.007667784072,-0.01085386551)	(-0.01096044333,-0.007482529198)	(0.007976695194,-0.01318677654)	(-0.01327422296,-0.007850809625)	(0.005526579084,-0.01440260095)
	(-0.01457136558,-0.00539361755)	(0.005239718368,-0.01219195563)	(-0.01223351342,-0.005061591429)	(-0.001285429745,0.001278649312)	(0.01168898302,-0.006252266985)
	(-0.006318355276,-0.01154485993)	(0.0122802945,-0.009383901848)	(-0.009581091956,-0.01213418368)	(0.009813089339,-0.009050104618)	(-0.009105712503,-0.009597613762)
	(-0.002035481143,0.0004728902041)	(0.01056808631,-0.01132642961)	(-0.01137151826,-0.0104631076)	(0.01424927222,-0.005987919704)	(-0.006134983608,-0.01416946766)
	(0.005779320725,-0.01948861101)	(-0.01975196524,-0.005698070191)	(0.005760602958,-0.01691281293)	(-0.01719961324,-0.00562967307)	(-0.001771035313,0.002048215588)
	(0.008649974783,-0.01569522079)	(-0.01587896478,-0.008564640418)	(0.008977259386,-0.01824661461)	(-0.01851710538,-0.008844966175)	(-0.006284617163,-0.02609683249)
	(-0.02678824773,0.006808327845)	(-0.00177748454,-0.02673635677)	(-0.0274386958,0.002246840237)	(-0.001780002155,-0.02294559994)	(-0.02329052377,0.002103384302)
	(-0.0008394568363,0.00353165648)	(0.002004683362,-0.02295642716)	(-0.02333250743,-0.001671256069)	(0.005797042702,-0.02228661493)	(-0.02259633719,-0.005568277123)
	(-0.002122448511,0.003000908561)	(0.002655742369,-0.02670686972)	(-0.02745071496,-0.002360344457)	(0.007100879334,-0.02581017918)	(-0.02656938887,-0.006885850865)
	(0.009456450138,-0.02105834636)	(-0.02136715468,-0.009188650175)	(0.007886442832,0.002214512071)	(0.002119492316,-0.007840212419)	(0.00610442727,0.004459548419)
	(0.004407341094,-0.006087946578)	(0.007190732391,0.003382882596)	(0.003354906451,-0.007016053566)	(0.004304244632,0.005749260322)	(0.005712785502,-0.00421070695)
	(0.004522856287,0.004107712079)	(0.004114890226,-0.004421853753)	(0.005840295984,0.002812505896)	(0.002837027434,-0.005754860429)	(-0.0005204290048,-0.001197603114)
	(0.01288240117,-0.003067207655)	(-0.003042703868,-0.01279301316)	(-0.002082280572,-0.000672634775)	(0.01534333655,-0.001147149514)	(-0.001226002654,-0.01534032151)
	(0.01159245971,-0.0008250920062)	(-0.0008261703948,-0.01144260343)	(0.01499271333,-0.003693725001)	(-0.003671219737,-0.01489370339)	(0.00953588672,0.002644340483)
	(0.002599438144,-0.009477801099)	(0.01350491851,0.001264575314)	(0.001108837147,-0.0133554495)	(0.01015789597,0.0009825786724)	(0.0008914820922,-0.01006515496)
	(-0.001400989379,-0.00127099872)	(0.01145150792,0.003136735435)	(0.003068498651,-0.01131966058)	(-3.238970309e-005,-1.727970735e-005)	(-1.155702723e-005,5.398007749e-006)
	(-2.600319167e-005,-1.851840574e-005)	(-4.439786207e-006,7.064884156e-006)	(-2.585955109e-005,-2.478521102e-005)	(-1.783178292e-005,-1.398313962e-006)	(-1.755730375e-005,-2.526069099e-005)
	(-2.431125172e-006,-3.238252559e-006)	(2.068923077e-006,-1.231374541e-006)	(-2.220418375e-005,-1.358851945e-005)	(-6.722258373e-006,3.36502681e-006)	(-1.863006575e-005,-1.38555624e-005)
	(-2.392328378e-006,4.858236234e-006)	(-1.212316865e-005,-2.675190231e-005)	(5.254318963e-007,-4.159427147e-006)	(0.0001962374643,9.437019165e-006)	(-4.252829578e-005,-0.0002028800718)
	(0.0001913435674,-4.124462758e-005)	(-9.130894025e-005,-0.0001917930136)	(0.0002594508288,-5.908986431e-005)	(-0.0001323474096,-0.0002331145801)	(0.0002071040671,-0.0003043990191)
	(0.0003173147347,3.143177434e-005)	(-2.440604392e-005,-0.000306519983)	(0.0001331662521,1.357913594e-006)	(-5.971458389e-005,-0.000126170365)	(0.0001326710276,-3.825110895e-005)
	(-9.77362437e-005,-0.0001519712587)	(0.0002091673777,-0.000280912779)	(0.0001052795519,-2.045657398e-006)	(-5.276131093e-005,-0.0001015204006)	(8.763343122e-005,-2.473933322e-005)
	(-7.480944627e-005,-0.0001006535814)	(7.189567332e-005,-3.104220733e-006)	(-4.627918339e-005,-7.629106529e-005)	(0.0002104693379,0.0001879413118)	(0.0001488950742,-0.0002019453282)
	(0.000265712797,0.0002850358868)	(0.000241599958,-0.0002580993345)	(0.0001965927278,0.0001136122687)	(6.705072497e-005,-0.0001758211854)	(0.0002816728347,0.0001960703745)
	(0.0001222748828,-0.0002282376031)	(0.0001984459244,-0.0003115065793)	(-0.0001741735032,0.0005077743406)	(0.0004777208176,0.0002149870977)	(3.182012618e-005,0.0003965960885)
	(0.0003583980769,-2.112988627e-005)	(2.337862939e-005,0.0005476960396)	(0.0005113279987,-5.430480358e-006)	(0.0001225269198,0.0002911678075)	(0.0002341365048,-6.778717525e-005)
	(0.0001584975212,0.0003853289894)	(0.0003341342716,-0.0001156599811)	(0.0002065560063,-0.0003059439683)	(-2.390925066e-005,-3.242393523e-005)	(-1.713258607e-005,-9.230940191e-006)
	(-4.545981473e-006,-9.963054127e-006)	(-4.577623343e-007,-1.908952741e-005)	(9.446121114e-006,-2.171625468e-005)	(-6.738142253e-005,-4.565759442e-005)	(-6.439445625e-006,-3.564270891e-005)
	(-8.853659843e-005,3.441364659e-006)	(2.246216264e-005,-1.90542673e-005)	(-5.153848476e-005,-2.688847787e-005)	(2.183695075e-005,-2.659045959e-006)	(-3.716441101e-005,-6.820417928e-005)
	(5.752493335e-005,-1.98756002e-005)	(-6.997174583e-005,-7.597913054e-005)	(0.0001988883601,-0.0002531799825)	(6.117073168e-005,-7.797010391e-006)	(-5.902811287e-005,-7.404730102e-005)
	(8.689117321e-007,-5.315655171e-005)	(-8.738468637e-005,-2.450163123e-005)	(0.0002107009842,-0.0002557559394)	(4.28210174e-005,-3.931581734e-005)	(-8.672938291e-005,-5.742716216e-005)
	(3.548952671e-005,1.742348374e-006)	(-2.404892393e-005,-5.394734567e-005)	(-0.0004862108345,0.0005191759325)	(0.0005077699748,0.0004995890153)	(-0.0002530814814,0.0006922064356)
	(0.0006384115959,0.000288346926)	(0.0002961801538,-0.0002992569619)	(-0.000296213476,0.0005360956307)	(0.0004915132739,0.000333674739)	(-0.0004714175297,0.0008671538)
	(0.0008200503854,0.0005055878093)	(-0.0003110185535,0.0002754400073)	(0.0002581200026,0.0003557280923)	(-0.0003246191982,0.0003927806588)	(0.0003784655656,0.0003893830175)
	(0.0002680120513,-0.0002222873251)	(-0.0004545573443,0.0003345786654)	(0.0003036910126,0.0004899935176)	(-0.0001949340135,0.0003776499611)	(0.0003527585663,0.0002040484448)
	(4.184348033e-005,-0.000100185144)	(-0.0001662217254,-6.927636421e-005)	(0.0001646133033,-0.0008366057486)	(-0.0008717263805,-0.0001931094224)	(-9.336279211e-005,-0.0003970854774)
	(-0.000487478253,9.90202758e-005)	(0.0001170311553,-0.0002217862874)	(-0.0003021229687,-0.0001073807047)	(0.0001546652959,-0.0003706372353)	(-0.0005031879945,-0.0001182893264)
	(0.0002446916856,-0.0003116664628)	(-0.0001138429476,-0.0002275060312)	(-0.0003350570192,8.152153766e-005)	(-5.334163653e-005,-0.0001496933735)	(-0.0002097528762,3.545315238e-005)
	(8.86996878e-005,-0.0001743078625)	(-0.0002203282825,-9.167935096e-005)	(0.0002483869092,-0.0003074323304)	(-0.007148190511,-0.001976399969)	(-0.002343424095,0.007341865891)
	(-0.004319186846,-0.002458254923)	(-0.002580360977,0.004356466118)	(-0.00493422236,-0.004097427178)	(-0.004296715984,0.005183632809)	(0.001004237299,0.0004145977099)
	(-0.002531100132,-0.004269576097)	(-0.00443691468,0.002700318145)	(-0.00247712938,-0.002806221609)	(-0.002924354768,0.00245902526)	(-0.0007120238875,-0.003687013918)
	(-0.003792853093,0.0007079025318)	(0.0002716096116,0.0001669459234)	(-0.001213035854,-0.002468227341)	(-0.002607735721,0.00121137334)	(-0.0003689748551,-0.002467592052)
	(-0.002568695341,0.0004797393377)	(-0.0004888111895,-0.0006744985472)	(-0.0008409849799,0.000564961328)	(-0.0002068085048,-0.001581701802)	(-0.001846095309,0.0001682814543)
	(0.0003116037246,-0.0001986861413)	(-0.0008594850717,-0.001625793701)	(-0.00180159358,0.000919462065)	(-0.0007089113066,-0.0009721003448)	(-0.001069807113,0.0006239293074)
