96935	
	(7.058173568e-005,0.0002028560526)	(-0.0001889225207,-1.175606801e-005)	(7.853315519e-005,0.0001438915249)	(-0.0002183517976,-4.01886197e-005)	(3.643540164e-005,0.0001436206025)
	(-0.0002050796014,8.02330688e-006)	(0.0001241075109,0.0001806866431)	(3.740986792e-005,-0.001130680078)	(-7.460884879e-005,2.182467882e-005)	(0.00026490137,3.687996517e-005)
	(-4.368437773e-005,-0.0009594811066)	(-0.0001053271266,-4.659823385e-006)	(0.0002399956142,4.542627303e-005)	(-3.605780427e-005,-9.908405981e-006)	(0.0002438980302,-4.480103451e-005)
	(-8.120341768e-005,-3.546667795e-005)	(0.0002057851375,-2.080501937e-005)	(-0.0001298842266,-3.908148319e-005)	(0.0001717678493,-4.275420543e-006)	(-0.0001194124653,-3.600916302e-005)
	(0.0001864667474,-2.349451514e-006)	(-0.0003390313361,-0.00194190212)	(-0.001699230599,0.0001285975135)	(-0.001001252285,-0.001686443821)	(-0.001528834497,0.0008681939881)
	(-0.00182343039,-0.002442789704)	(-0.002297992736,0.001647950385)	(-0.0006272061341,-0.002576036923)	(-0.002353073591,0.0004616588369)	(-0.000228592571,9.637940506e-005)
	(0.0007474794823,-0.0004749318743)	(-0.0002192447584,-0.000879017039)	(-0.000325139977,-0.000532919309)	(-3.532487164e-005,-0.001008717337)	(-0.0008096615074,-0.0001853621213)
	(-0.0006405081788,-0.001314003709)	(-0.001227249955,0.0005206403818)	(0.0004641575942,-0.00105132513)	(-0.000838669394,-0.0006053231032)	(-0.0001776152611,-0.001391208829)
	(-0.001230043593,-3.039754378e-005)	(-0.0002489908545,-0.0002346250865)	(0.0003365624936,-0.000732392285)	(-0.000490713366,-0.000484371351)	(0.0004557122436,-0.0004453523511)
	(-0.0002010378239,-0.0006065505474)	(0.0002219790088,-0.0004088128173)	(-0.000151729106,-0.0003602322372)	(-0.0002218866728,-0.0005684066521)	(0.0002879644237,-4.725543103e-006)
