96935	
	(0.00288585869,0.004632157307)	(-0.0001078192895,-0.0001765177448)	(0.0006447091829,0.001034903662)	(0.002769356225,0.004445197195)	(-0.00019884238,-0.000322340524)
	(0.0005480684866,0.0008797655514)	(0.002729931717,0.004382099399)	(-0.0001544142991,-0.0002510047056)	(0.002735340903,0.004390574014)	(-0.0002331612205,-0.0003773324019)
	(0.002709918508,0.004349886578)	(-0.0002060083621,-0.0003337335307)	(0.002647554881,0.00425006277)	(-0.0001402210654,-0.0002280709179)	(0.002674141911,0.004292630712)
	(-0.0001669668324,-0.0002710316283)	(0.002641545535,0.004239336319)	(-0.0005278587528,-0.0008499837211)	(0.002607166717,0.004184168012)	(-0.0005383311944,-0.0008667365121)
	(0.002598449155,0.004170075373)	(-0.000579670349,-0.0009330568767)	(0.00263392206,0.00422703412)	(-0.0005570262004,-0.0008967742393)	(0.0002414638797,0.0003876701389)
	(0.002734415209,0.004388517237)	(-0.0004392540763,-0.0007079609878)	(0.0003387043648,0.0005437480143)	(0.002648239071,0.004250227063)	(-0.0004713832724,-0.0007593799585)
	(0.002613862612,0.004194983378)	(-0.0005124190197,-0.0008251692071)	(0.002691740133,0.004319994432)	(-0.0004710488352,-0.0007589074924)	(0.002646316084,0.00424706502)
	(-0.000501138,-0.0008071178124)	(0.0002775559132,0.0004455934847)	(0.002691779518,0.004320136855)	(-0.0004418460087,-0.0007120555717)	(0.002715254055,0.004357851309)
	(-0.0004165327823,-0.0006714779142)	(0.002696966866,0.004328588397)	(-0.0003940823939,-0.0006354274142)	(0.0003599914558,0.0005779020358)	(0.002762745314,0.004434202117)
	(-0.0003441289053,-0.0005553914343)	(0.0004154827145,0.0006669752045)	(0.002700485998,0.004334606421)	(-0.0002647703429,-0.0004279770114)	(0.0004718161167,0.0007573717025)
	(0.0026692219,0.00428415953)	(-0.0003736016189,-0.0006025266126)	(0.002701324745,0.004335704342)	(-0.0003507207747,-0.000565872209)	(0.002730048757,0.004381704302)
	(-0.0003711516159,-0.0005986924364)	(0.002675336075,0.004294354221)	(-0.0002338759795,-0.0003783700497)	(0.002673907837,0.004291539987)	(-0.000420326471,-0.0006775002648)
	(0.002730890377,0.004383245047)	(-0.0003016079165,-0.000487127332)	(0.002672393301,0.004289432907)	(-0.0003131769204,-0.0005055918597)	(0.002574266876,0.004132738775)
	(-7.778961678e-005,-0.0001277730851)	(0.002625119983,0.004214154309)	(-0.0001162770011,-0.0001896189437)	(0.002601710944,0.004176679743)	(-9.871805158e-005,-0.0001613922217)
	(0.002549028692,0.004092233137)	(-9.564985898e-005,-0.0001563281179)	(0.002573150865,0.004129547395)	(-0.0005586506247,-0.0008992906767)	(0.002525635411,0.004053267841)
	(-0.0005815132752,-0.0009359080615)	(0.002559497364,0.00410754117)	(-0.0006008333289,-0.0009669630062)	(0.0002009800931,0.000322686174)	(0.002525232434,0.004052563445)
	(-0.0006036155207,-0.0009713771734)	(0.002531172894,0.004062055967)	(-0.0006224261606,-0.001001581949)	(0.002549581651,0.004091591835)	(-0.0006206652935,-0.0009987831496)
	(0.002501106052,0.004013778981)	(-0.0006589479921,-0.001060197649)	(0.002513662549,0.004033933108)	(-0.0006428918077,-0.001034418023)	(0.002531986553,0.004063332742)
	(-0.0006410684484,-0.001031518871)	(0.0001822112725,0.0002925668044)	(0.002483036065,0.003984786675)	(-0.0006602503324,-0.001062260843)	(0.002491228289,0.003998061022)
	(-0.0005833889489,-0.0009388678521)	(0.002434052103,0.003906209617)	(-0.0006772369847,-0.001089504685)	(0.00250834225,0.004025406778)	(-0.0006712819712,-0.001080060603)
	(0.002343745465,0.003761386684)	(-0.0006999025867,-0.001125866747)	(0.002470700635,0.003965011695)	(-0.0006750203255,-0.00108600318)	(0.002364057963,0.003793977601)
	(-0.0006984866605,-0.001123625584)	(0.002452498527,0.003935806445)	(-0.0006763657081,-0.001088134352)	(0.0001631206683,0.0002619286766)	(0.002380210767,0.003819896378)
	(-0.0006977370563,-0.001122450331)	(0.002397594687,0.003847789595)	(-0.0006959581404,-0.001119623753)	(0.002489345837,0.003994927681)	(-0.0006730958067,-0.001082943154)
	(0.0001731444062,0.0002780230068)	(0.002527521581,0.004056179248)	(-0.0006687551208,-0.001076034366)	(0.0001827897264,0.000293510362)	(0.002414006817,0.003874124496)
	(-0.0006942768004,-0.001116953845)	(0.00254745344,0.004088158713)	(-0.0006661502711,-0.001071882718)	(0.002430046096,0.003899860677)	(-0.0006921524036,-0.001113571403)
	(0.002985291058,0.004791612725)	(-6.547371273e-005,-0.0001087323721)	(0.002994528219,0.004806312973)	(-0.0001143822549,-0.00018718762)	(0.0006283870031,0.001008730103)
	(0.003026016025,0.004856839708)	(-8.657753475e-005,-0.0001426279818)	(0.003041659147,0.00488182786)	(-0.0001256412343,-0.0002052973866)	(0.003015941363,0.004840561316)
	(-0.0001474930276,-0.0002403181185)	(0.002954482462,0.004741722528)	(-0.0002932571979,-0.000474050781)	(0.002920853381,0.004687805699)	(-0.000295182643,-0.0004770963944)
	(0.0004691227824,0.0007530973272)	(0.002926156818,0.004696182762)	(-0.0003469196093,-0.000560093752)	(0.002960804175,0.004751794805)	(-0.000319624247,-0.0005163522555)
	(0.002995902935,0.004808068689)	(-0.0003159385429,-0.0005104807636)	(0.002980465353,0.004783445444)	(-0.0002608357451,-0.000422076986)	(0.003018188382,0.004843876107)
	(-0.000279301623,-0.000451739385)	(0.002988064871,0.004795563762)	(-0.0002885611806,-0.0004665580429)	(0.0004723658348,0.0007583148996)	(0.002972397692,0.004770576778)
	(-0.0002316428943,-0.0003752392646)	(0.0005216047061,0.0008373395927)	(0.003010567147,0.004831723823)	(-0.0002510500029,-0.0004064143438)	(0.003004680474,0.0048223789)
	(-0.0002073084273,-0.0003362446595)	(0.003068002241,0.004923882759)	(-0.0002068537652,-0.0003355875772)	(0.003036329241,0.004873163469)	(-0.0001809129829,-0.0002939426717)
	(0.0005588438447,0.0008971196574)	(0.003063021746,0.004915992794)	(-0.0001606531973,-0.0002614773648)	(0.003042977836,0.004883729625)	(-0.0002259104675,-0.0003661274818)
	(0.002757065196,0.004424519572)	(-0.0005657576282,-0.0009109572137)	(0.002740170414,0.004397374885)	(-0.0005887242232,-0.0009477944394)	(0.002717187993,0.004360501215)
	(-0.0005945193622,-0.0009570621249)	(0.002729615271,0.004380478621)	(-0.0005727438419,-0.0009221309411)	(0.0002512114587,0.000403334484)	(0.002818548402,0.004523164928)
	(-0.0005473099816,-0.0008814386389)	(0.002789034603,0.00447577391)	(-0.0005757239906,-0.0009269991559)	(0.002783493533,0.00446692276)	(-0.000558072552,-0.0008986618503)
	(0.0002660304738,0.0004271267795)	(0.002766821637,0.00444013508)	(-0.0005816142585,-0.0009364220026)	(0.002823119006,0.00453045986)	(-0.0005647439087,-0.0009094268752)
	(0.002659814294,0.004268417696)	(-0.0006358259508,-0.001023321446)	(0.002693710182,0.004322807195)	(-0.0006166171215,-0.0009925092299)	(0.0002244410614,0.0003603707686)
	(0.002716349554,0.004359130541)	(-0.0006113327243,-0.0009840611102)	(0.002680502956,0.004301612178)	(-0.0006311671291,-0.001015874916)	(0.002446397581,0.003926098522)
	(-0.0006896925097,-0.001109652414)	(0.002463977871,0.00395430721)	(-0.000686368339,-0.001104347023)	(0.00256791074,0.004120981056)	(-0.0006629529507,-0.001066780653)
	(0.0001926258504,0.0003093032172)	(0.002584900606,0.00414824358)	(-0.0006592487134,-0.001060865707)	(0.002605073689,0.004180610131)	(-0.0006550712501,-0.001054191069)
	(0.000202372203,0.0003249525587)	(0.00248120228,0.003981944725)	(-0.0006834040667,-0.001099618591)	(0.002499185784,0.004010800112)	(-0.0006792184275,-0.001092931329)
	(0.002624583034,0.004211912825)	(-0.0006506522184,-0.001047129078)	(0.002914420931,0.00467714485)	(-0.0004421636155,-0.0007128664058)	(0.002959999272,0.004750297781)
	(-0.0004108050721,-0.0006626163249)	(0.002935746992,0.004711371133)	(-0.0004280040203,-0.0006901784238)	(0.002997255114,0.004810092127)	(-0.0003815394861,-0.0006157130495)
	(0.002965381863,0.004759007667)	(-0.0003742962006,-0.0006040574874)	(0.002929003319,0.004700620654)	(-0.0004012906777,-0.0006473161871)	(0.000383334633,0.0006154130526)
	(0.002853452297,0.004579165752)	(-0.0005352718122,-0.0008621690361)	(0.0002861268092,0.0004593909779)	(0.002866370048,0.004599853244)	(-0.000549865986,-0.0008856117431)
	(0.002876656076,0.004616434284)	(-0.0005091408724,-0.0008202709754)	(0.002844535728,0.004564820866)	(-0.0005573076951,-0.000897523665)	(0.002920538361,0.004686892149)
	(-0.0004692210263,-0.000756280091)	(0.002896310578,0.004647923688)	(-0.0005221317395,-0.0008411416352)	(0.002896143617,0.004647745766)	(-0.000482867588,-0.0007781441928)
	(0.0003230248686,0.000518615266)	(0.002920805257,0.004687263542)	(-0.0004948947144,-0.000797472099)	(0.002302393557,0.003696935318)	(-7.610950957e-006,-1.332920176e-005)
