96935	
	(-0.0001055307188,3.149214142e-007)	(-0.0007672261301,0.0003691436876)	(0.0004556326689,0.0008024707959)	(-0.001159451177,0.0009970595862)	(0.001032033375,0.001227294328)
	(-0.0007715273666,0.0007906740441)	(0.0008307584088,0.0008352006066)	(-0.0002146686191,0.0004125876977)	(0.0004482430137,0.0002626921908)	(-0.0003977112669,0.0005277184524)
	(0.0005637582957,0.0004646553377)	(0.003396579971,0.009751713335)	(0.009836664695,-0.003337665914)	(0.005777559212,0.008743535801)	(0.008869664829,-0.005760262061)
	(0.00832238282,0.0111830579)	(0.01137850004,-0.008271829335)	(0.004656164304,0.0116236879)	(0.01174506549,-0.004668887129)	(-0.000356546575,-0.00227287125)
	(-0.002597545031,0.006079525063)	(0.006209081287,0.002676541942)	(0.0004512603267,-0.0007842138385)	(0.001748652832,0.006644189367)	(0.00670693573,-0.001588203051)
	(0.004418826683,0.007404318523)	(0.007723272537,-0.004389296268)	(-0.00040225085,0.007466246176)	(0.007681924421,0.0004186028233)	(0.00241857288,0.008068303856)
	(0.008313117031,-0.002376028259)	(-0.0002714314099,-0.001487374902)	(-0.0005393891682,0.006056479643)	(0.006153657178,0.0005742547448)	(-0.001600753035,0.005129940277)
	(0.005272541296,0.001660960076)	(-0.0008161891949,0.004315608418)	(0.004466331544,0.0007879584981)	(3.359868977e-005,-0.0006330145786)	(-0.00259413103,0.002749149792)
	(0.002812576257,0.002694117176)	(0.000236088447,-0.0002486194099)	(-0.0008063557819,0.001494156514)	(0.001552396358,0.0008591614966)	(-0.0001664520219,-0.0002262177164)
	(-5.152409666e-005,0.003465628488)	(0.003518187787,5.935783013e-005)	(-0.0009416902465,0.003004166361)	(0.003119967573,0.001039387798)	(-0.001821772912,0.003631251418)
	(0.003742714886,0.001850231484)	(-0.0004376532995,0.001129082182)	(0.001184206802,0.0004829073366)	(0.0001157383862,0.004949003081)	(0.005044044609,-1.456068096e-005)
	(-0.001522470877,0.002025368303)	(0.002117151072,0.001541317777)	(-0.0003014190019,0.002088418117)	(0.00220303381,0.0004581791001)	(-3.24263853e-005,0.0001384871971)
	(0.0001521862574,0.0001071041397)	(-0.000132986571,0.0002850198762)	(0.0003237084996,0.0001973657811)	(-6.8590171e-005,0.000209738605)	(0.0002343185252,0.0001020626268)
	(3.774471737e-005,0.0001381444202)	(0.000147442486,5.065804227e-006)	(0.008768422357,0.007969815786)	(0.008077650473,-0.008647945965)	(0.01220838954,0.005186536397)
	(0.005402429936,-0.01215001397)	(0.01209227062,0.009839910167)	(0.01015978965,-0.01199595751)	(-0.00171662932,-0.002490956968)	(0.01426507133,0.006567855432)
	(0.006730451813,-0.01416593195)	(0.0153225819,0.009352121868)	(0.009621101923,-0.01534250479)	(0.01396778672,0.01131930577)	(0.01155137668,-0.0138554087)
	(0.01821460156,0.01386602327)	(0.01417851959,-0.01833876919)	(0.01748361667,0.01075614114)	(0.01102442695,-0.01757135693)	(0.01595648864,0.01303792533)
	(0.01324277092,-0.01594014063)	(-0.002187114964,-0.003334337495)	(0.01984864006,0.01129228674)	(0.0116020795,-0.01999934243)	(0.01332106096,0.001984659983)
	(0.002179901846,-0.01302026432)	(0.02255710697,0.01165067833)	(0.01183867508,-0.02283817364)	(0.01290108866,0.02185601836)	(0.02223275352,-0.01326811787)
	(0.02549489018,0.01332298441)	(0.01365356191,-0.02627740608)	(0.01845359629,0.01741743357)	(0.01769643038,-0.01881165647)	(0.02306767358,0.01709503791)
	(0.01748687865,-0.02381859935)	(0.0206783155,0.01465354102)	(0.01494859994,-0.02101809351)	(-0.002732351041,-0.003950186114)	(0.02046472771,0.02015899069)
	(0.02068882173,-0.02125059233)	(0.01741863829,0.02281124248)	(0.02341225631,-0.01813872713)	(0.01582583255,0.01981600194)	(0.02015255026,-0.01620150667)
	(-0.001538998251,-0.004391854975)	(0.009729062961,0.02346117071)	(0.0238973029,-0.009998792917)	(-0.0002449253836,-0.004509729687)	(0.01406684574,0.0250435771)
	(0.0257849075,-0.01479017291)	(0.006334727417,0.0246186282)	(0.02506886184,-0.006618373861)	(0.01059876828,0.02671258782)	(0.02748766393,-0.01126118256)
	(-0.0004873387251,-0.001902883473)	(-0.001841757515,0.0004885871021)	(-0.0009118289285,-0.002388967868)	(-0.002328707693,0.0009273459078)	(-0.0003492583022,0.0004328919126)
	(-0.0003444926007,-0.002505384482)	(-0.002473779656,0.0003492345086)	(-0.000620313179,-0.003158724962)	(-0.003098042465,0.0006345303606)	(-0.001195521432,-0.003029924625)
	(-0.002958556686,0.001224588516)	(-0.004731553879,-0.002445648914)	(-0.002382323312,0.004797182951)	(-0.004599896276,-0.001323132359)	(-0.001246787556,0.004643773057)
	(0.0002770811467,0.0005748740208)	(-0.006493457165,-0.001259500228)	(-0.001169768674,0.006461267944)	(-0.005651752605,-0.002738670225)	(-0.002614977973,0.005662614561)
	(-0.005600116013,-0.004171050362)	(-0.004028557811,0.005560903249)	(-0.003791907504,-0.003163205391)	(-0.003120746132,0.00378001601)	(-0.004141760826,-0.004607867722)
	(-0.004505389895,0.004122863118)	(-0.004646925558,-0.003636323842)	(-0.003545469573,0.0045632517)	(0.0001333122213,0.0009699865416)	(-0.003089601059,-0.002784512379)
	(-0.002693020153,0.003101794305)	(-4.649726048e-005,0.0006814109411)	(-0.00333996032,-0.003980308247)	(-0.003919704679,0.003366259021)	(-0.002388861294,-0.003385371798)
	(-0.003284426369,0.002403294306)	(-0.001542825053,-0.004916146947)	(-0.004850471623,0.001541961856)	(-0.00154960777,-0.00383922951)	(-0.003734921366,0.001579893525)
	(-0.0003702040448,0.0007177705031)	(-0.0008347901278,-0.004028487857)	(-0.003952991161,0.0008446195745)	(-0.002355728123,-0.004612922923)	(-0.004573900395,0.002364363216)
	(-0.007348282071,0.01434826183)	(0.01452069404,0.00731313288)	(-0.007338043877,0.01672789218)	(0.01690492503,0.007354106846)	(-0.004749065076,0.0176336431)
	(0.01788035976,0.004753067714)	(-0.004703997327,0.01538955621)	(0.01551542449,0.004690517018)	(0.00146683244,-0.00206597701)	(-0.01231252414,0.0104456246)
	(0.0105746084,0.01229063095)	(-0.01222656471,0.01367612941)	(0.01394358667,0.01219060541)	(-0.009820006646,0.01287851751)	(0.01300073105,0.009740469424)
	(0.002255583501,-0.001263504105)	(-0.01018506894,0.01526210597)	(0.01540877909,0.01020641024)	(-0.01490669335,0.01075162953)	(0.01098150554,0.01493091767)
	(-0.004529254957,0.02253545866)	(0.02293730283,0.00452873283)	(-0.004719454479,0.02010827343)	(0.02047628475,0.004706385883)	(0.001922712723,-0.002824407333)
	(-0.007676888849,0.01924207061)	(0.01953818899,0.007697319728)	(-0.007692583344,0.02168623039)	(0.02210630361,0.007648640361)	(0.00678213019,0.02794828143)
	(0.02884491414,-0.007362993672)	(0.002749348023,0.02861573623)	(0.0295617404,-0.003273724892)	(0.002765644019,0.02526168239)	(0.02577554951,-0.003004458278)
	(0.001073899782,-0.004247930591)	(-0.0007673876662,0.02543661581)	(0.02600011407,0.000517098335)	(-0.004335641684,0.02509839014)	(0.02561925662,0.004170728655)
	(0.002238446269,-0.003691774809)	(-0.001265078859,0.02876599788)	(0.02977745208,0.000885296786)	(-0.005324726678,0.02828398055)	(0.02933734244,0.005032284526)
	(-0.007849276877,0.02428441799)	(0.02482119482,0.00766612262)	(-0.01078925824,0.0005446948396)	(0.0006821445388,0.01082351441)	(-0.009845070328,-0.002573101816)
	(-0.002461432157,0.009904655019)	(-0.0105325756,-0.000994072656)	(-0.000939366523,0.0104660325)	(-0.008551608215,-0.004768637281)	(-0.004697859334,0.008530036545)
	(-0.008000985789,-0.002930247672)	(-0.002901156118,0.007996174722)	(-0.008848455993,-0.000909097229)	(-0.0008918590595,0.008865465434)	(0.000987862021,0.0008790933203)
