96935	
	(0.003975457033,0.0009441676896)	(-0.001042536793,-0.0002486887085)	(0.003919249506,0.0009308042259)	(-0.001092759388,-0.0002605854678)	(0.003782323625,0.0008981482274)
	(-0.001394196685,-0.0003320866088)	(0.004031986136,0.0009575974119)	(-0.001012600009,-0.000241606344)	(0.004012525342,0.0009530162808)	(-0.0009458825264,-0.0002257641983)
	(0.003905553304,0.0009275820157)	(-0.001042544543,-0.0002486616562)	(0.003961211418,0.0009408152225)	(-0.0009933814715,-0.0002370163276)	(0.0009532756923,0.0002264883439)
	(0.003955408914,0.0009394781108)	(-0.0009228754742,-0.0002202799796)	(0.003889761154,0.0009238704094)	(-0.0009774788433,-0.0002332100608)	(0.003406816312,0.0008089288259)
	(-0.001552557957,-0.000369554177)	(0.003453793382,0.0008200917383)	(-0.001532279515,-0.0003647543098)	(0.003748301213,0.0008900567252)	(-0.001426007825,-0.0003396260273)
	(0.003688235497,0.0008757993462)	(-0.001424538114,-0.0003392554332)	(0.003620870715,0.0008598088697)	(-0.001421984876,-0.0003386258983)	(0.003528449695,0.0008378558926)
	(-0.00144705558,-0.0003445446149)	(0.003507642434,0.000832892227)	(-0.001493658083,-0.0003556018321)	(0.003762933164,0.0008935697995)	(-0.001345192042,-0.0003204459154)
	(0.0006238439454,0.0001482396203)	(0.003748967649,0.0008902923987)	(-0.001274204104,-0.0003035891676)	(0.003810005705,0.0009048048037)	(-0.001228525893,-0.0002927694733)
	(0.003870183599,0.0009191203376)	(-0.001164946787,-0.000277700525)	(0.003703126131,0.0008793727778)	(-0.00134804407,-0.0003211012173)	(0.003826926938,0.0009087829967)
	(-0.001298417871,-0.0003093662751)	(0.00383602865,0.0009110945292)	(-0.001022136245,-0.0002437870822)	(0.003690924744,0.000876513625)	(-0.001276920042,-0.0003042121285)
	(0.00379406241,0.0009010645917)	(-0.001145828496,-0.0002731311242)	(0.003850234786,0.0009144302944)	(-0.001084357531,-0.0002585631218)	(0.0008338210504,0.0001981108614)
	(0.003756481119,0.0008921965954)	(-0.001057666645,-0.0002521872594)	(0.003372845053,0.0008008655774)	(-0.001546036076,-0.0003679941159)	(0.003297374559,0.0007829419089)
	(-0.001562235757,-0.0003718166677)	(0.003240003738,0.0007693124612)	(-0.00162280703,-0.0003861899816)	(0.003275144682,0.0007776557775)	(-0.00159618021,-0.0003798731585)
	(0.003343454833,0.0007938689146)	(-0.00161266133,-0.0003838092738)	(0.003309572858,0.0007858272675)	(-0.001604574671,-0.0003818776803)	(0.0003413221815,8.112575872e-005)
	(0.003308345907,0.0007855339612)	(-0.001640712327,-0.0003904645409)	(0.003273299219,0.0007772154149)	(-0.001631417706,-0.0003882457334)	(0.004084897821,0.0009701783203)
	(-0.0009597906141,-0.0002290952989)	(0.003940627324,0.0009358327607)	(-0.001172106018,-0.0002794278587)	(0.004065765937,0.0009655499781)	(-0.0011279882,-0.0002690040598)
	(0.004085402037,0.0009701734776)	(-0.001194919662,-0.0002848958233)	(0.003990729037,0.0009477638235)	(-0.001094963587,-0.0002611380279)	(0.0008835346058,0.0002099271037)
	(0.004049334838,0.0009616857201)	(-0.001064714233,-0.0002539812585)	(0.004007780441,0.0009517738692)	(-0.001160087788,-0.0002766008049)	(0.004173458054,0.000991162517)
	(-0.001007899622,-0.0002405463552)	(0.004107168055,0.0009754248689)	(-0.001029432679,-0.0002456310269)	(0.0009741057558,0.0002314450674)	(0.004125047232,0.0009796321092)
	(-0.001093675185,-0.0002608836804)	(0.004189235016,0.0009948702474)	(-0.001075847387,-0.0002566760782)	(0.003541873023,0.0008409999802)	(-0.001538049607,-0.0003661549133)
	(0.00363745726,0.0008636892771)	(-0.001543702095,-0.0003675288963)	(0.003662093895,0.0008695554904)	(-0.001503339652,-0.0003579543613)	(0.003594935568,0.0008536158975)
	(-0.001497626728,-0.0003565754146)	(0.000481139304,0.0001143415751)	(0.003588595887,0.0008520917715)	(-0.00153856097,-0.0003662920012)	(0.003532973228,0.0008388704158)
	(-0.001578959929,-0.0003758656699)	(0.003444424256,0.0008178341758)	(-0.001634032117,-0.0003889176909)	(0.003508549608,0.0008330620552)	(-0.001612052658,-0.0003837169081)
	(0.003377700905,0.0008019970776)	(-0.001619431193,-0.0003854283299)	(0.0003603943322,8.565865731e-005)	(0.003483422536,0.0008271086049)	(-0.001576765372,-0.0003753286145)
	(0.0004078203355,9.692521408e-005)	(0.003376639542,0.0008017441619)	(-0.001656379179,-0.0003942080065)	(0.00334139364,0.0007933781341)	(-0.001648552001,-0.0003923374348)
	(0.003433394744,0.0008152233859)	(-0.001598335395,-0.000380434814)	(0.003452400632,0.0008197254033)	(-0.001671776238,-0.0003978888347)	(0.003938539572,0.0009352571765)
	(-0.001328345878,-0.0003165108727)	(0.003888444075,0.0009234094187)	(-0.001249063406,-0.0002976744796)	(0.0007344075492,0.0001745042693)	(0.003847041642,0.0009135330041)
	(-0.001344817712,-0.000320388818)	(0.003956547566,0.0009395754464)	(-0.001241780826,-0.0002959714082)	(0.003767702177,0.0008946379802)	(-0.001475397915,-0.000351357692)
	(0.00370603922,0.0008799676962)	(-0.001547737551,-0.0003685105994)	(0.003767948355,0.0008946615981)	(-0.0015502374,-0.0003691246078)	(0.003731133496,0.0008859428914)
	(-0.001506606224,-0.0003587540775)	(0.0005227211125,0.0001242238115)	(0.003849319516,0.0009140059026)	(-0.001485666202,-0.0003538231563)	(0.003894401526,0.0009247317953)
	(-0.001428911285,-0.0003403663121)	(0.003807269347,0.0009040097807)	(-0.001517260585,-0.0003613091415)	(0.003803419676,0.0009031319755)	(-0.00144272333,-0.0003436135319)
