96935	
	(-7.813306008e-005,-6.049518934e-005)	(-0.0008704853956,-6.109767375e-005)	(-7.581453576e-006,0.0009461030789)	(-0.001534315034,0.0002925756271)	(0.0002853992782,0.001611771842)
	(-0.001087930223,0.0003081950936)	(0.0003080580465,0.001163705894)	(-0.0004040263806,0.0002589297724)	(0.0002627746765,0.0004637632499)	(-0.0006237249229,0.0002672418952)
	(0.0002617434432,0.0006999549139)	(-0.002040600822,0.01022222951)	(0.01026082707,0.002139014822)	(0.0005265646095,0.01056737337)	(0.0106622891,-0.0004435627683)
	(0.001475368558,0.01396706686)	(0.0141041574,-0.001327815221)	(-0.001906128614,0.01247840162)	(0.01258426517,0.001961906866)	(0.0008763566599,-0.002160745674)
	(-0.005367445978,0.003997653911)	(0.00406531358,0.005504153561)	(0.0008103127748,-0.0004620065043)	(-0.001884245881,0.006697885265)	(0.00666581723,0.002056255643)
	(3.745102416e-005,0.008717751394)	(0.008971332303,0.0001537532101)	(-0.004165752516,0.006313600245)	(0.006486618682,0.004292952751)	(-0.002029743219,0.00827031339)
	(0.008454502414,0.002194562436)	(0.0005481343225,-0.001441218016)	(-0.003568972915,0.005021645296)	(0.005083626695,0.003651093388)	(-0.004019446138,0.003677847872)
	(0.003766204218,0.004146032521)	(-0.002923636214,0.003367002051)	(0.003507124863,0.002978918216)	(0.0003717283458,-0.0005443826892)	(-0.003678450997,0.001098742344)
	(0.001099010338,0.00379928373)	(0.0003493597456,-0.0001055861489)	(-0.001477020653,0.0009082239927)	(0.0009281746355,0.001553014737)	(-1.301296974e-005,-0.000291457366)
	(-0.00182462971,0.003017193199)	(0.003055300992,0.001859633022)	(-0.002365648699,0.002161461973)	(0.002207983927,0.002510498584)	(-0.003451913042,0.002259786774)
	(0.002338019718,0.003535570519)	(-0.0009687913312,0.0007764329596)	(0.000796806183,0.001036530615)	(-0.00243647163,0.004393484971)	(0.004419947576,0.002573745313)
	(-0.002374867711,0.001009764129)	(0.001075523831,0.002439161619)	(-0.0013400771,0.001687689548)	(0.00170298456,0.00153512973)	(-0.0001006243457,0.0001094490036)
	(8.077405459e-005,0.0001716882407)	(-0.0002656523372,0.0001879484124)	(0.0001860151105,0.0003410763745)	(-0.0001695997974,0.0001541489431)	(0.0001563273507,0.0002108575093)
	(-3.821628947e-005,0.0001451930626)	(0.0001296604329,7.924429579e-005)	(0.00349967786,0.01142804692)	(0.01145378184,-0.003337649354)	(0.007883626257,0.0107980153)
	(0.01094705638,-0.007719029265)	(0.005402773973,0.01473612067)	(0.01495531649,-0.00515280252)	(-0.0001756028935,-0.003047512623)	(0.008941344063,0.01303728126)
	(0.01312052149,-0.008768851938)	(0.008423965029,0.01596711008)	(0.01620180215,-0.00829875399)	(0.006256812736,0.0169628341)	(0.01709985734,-0.006038238599)
	(0.008597863213,0.02130991835)	(0.02163706071,-0.008542275412)	(0.009559143523,0.01827398481)	(0.01854313872,-0.009492940128)	(0.00708598145,0.01945002466)
	(0.01961330922,-0.006963478655)	(-0.0001460023481,-0.004008822876)	(0.01131004009,0.019939961)	(0.02027709905,-0.01127820996)	(0.01048248229,0.008620785908)
	(0.008627106755,-0.0101219282)	(0.01344170583,0.02162755286)	(0.02192868676,-0.01358628629)	(-1.956372844e-005,0.02545481105)	(0.02596521674,-0.0001020932958)
