96935	
	(-5.943274302e-005,9.775730466e-006)	(-0.0005888093419,0.0006719348756)	(0.0007529948111,0.0005928766899)	(-0.000700676069,0.001416304117)	(0.00146548133,0.0007527338909)
	(-0.0004213449441,0.001068089297)	(0.001121074909,0.0004653339875)	(-4.786315055e-005,0.0004914707656)	(0.0005338200244,7.91036721e-005)	(-0.0001728760924,0.0006726389248)
	(0.000722452996,0.0002205404045)	(0.006778225856,0.007531309224)	(0.007618248405,-0.006742235004)	(0.008489080097,0.005739912064)	(0.005845538929,-0.0085063942)
	(0.01164875072,0.006914240044)	(0.007092011075,-0.01166118917)	(0.008606554093,0.008694874358)	(0.008785082737,-0.008645137221)	(-0.001120275826,-0.001940988117)
	(1.521239589e-005,0.006605670377)	(0.006740383701,1.564557872e-005)	(0.0001488194683,-0.0009266792662)	(0.004120923147,0.005418242788)	(0.005522712945,-0.003995117597)
	(0.006781709194,0.005073318574)	(0.005348502651,-0.006862411438)	(0.002522248308,0.006977712253)	(0.007162323907,-0.002576752077)	(0.005263539673,0.006421830695)
	(0.006640371885,-0.00530515294)	(-0.000750935289,-0.001285234845)	(0.001847754856,0.005774135736)	(0.005862794411,-0.001843208622)	(0.0005349542636,0.005359116897)
	(0.005497243339,-0.0005271725295)	(0.0009194806024,0.004314186385)	(0.004425556219,-0.0009898851481)	(-0.0001648151065,-0.0006328394372)	(-0.00131282755,0.00359846775)
	(0.003683825812,0.00138629772)	(0.0001603324104,-0.0003586896185)	(-0.0001752669674,0.001734905628)	(0.001796690284,0.0002046535024)	(-0.0001968254085,-0.0001820239615)
	(0.00128136436,0.003249228266)	(0.003289890307,-0.001287465356)	(0.0002926039529,0.00317805556)	(0.003307754269,-0.0002431271185)	(-0.0002602343738,0.004090950444)
	(0.00419151323,0.0002524756151)	(1.8515343e-005,0.001254236019)	(0.001308113874,5.615316813e-006)	(0.00200470418,0.004526132911)	(0.00463772567,-0.001943917637)
	(-0.0006241376541,0.002509760144)	(0.002587226521,0.0006127080891)	(0.0005176822185,0.002090570043)	(0.002241358404,-0.0004160703172)	(2.31505855e-005,0.0001565647519)
	(0.0001894123922,3.855169822e-005)	(-1.7852871e-005,0.0003375213176)	(0.0003886668722,6.248813192e-005)	(1.531889471e-005,0.000239589278)	(0.0002678189151,6.106424447e-006)
	(9.041660364e-005,0.000128932523)	(0.0001475770422,-5.659347767e-005)	(0.01082625498,0.003930471354)	(0.004056380223,-0.01074715349)	(0.01280261282,0.0002231912958)
	(0.0004168714763,-0.01281487829)	(0.01443292333,0.004321258199)	(0.004619888236,-0.01445228671)	(-0.00237522217,-0.001639366222)	(0.01510210935,0.0006644224352)
	(0.0008294067323,-0.01505937283)	(0.01705322551,0.002688660805)	(0.002900000452,-0.01715141103)	(0.01661367224,0.004901019768)	(0.005133270541,-0.01658856105)
	(0.02123675678,0.005502512449)	(0.005715964606,-0.02145069598)	(0.01944548623,0.003095488866)	(0.003281676975,-0.01960408776)	(0.01898017965,0.005638070129)
	(0.005812716066,-0.01902812553)	(-0.003088831286,-0.002189488286)	(0.02168199178,0.002674306186)	(0.002872178019,-0.02191567975)	(0.01259824412,-0.002973071945)
	(-0.002711419779,-0.01239590106)	(0.02413466479,0.001971013631)	(0.002018050755,-0.02444487226)	(0.01968601992,0.01440830493)	(0.01459750001,-0.02014353237)
	(0.0272551897,0.002311471552)	(0.002286719444,-0.02806845343)	(0.02277431824,0.008469249116)	(0.008571714096,-0.02318573671)	(0.0265922329,0.006449859555)
	(0.006496530551,-0.02740458949)	(0.02364669149,0.005255271614)	(0.005373606086,-0.02404695265)	(-0.003782741807,-0.00251880325)	(0.02551812603,0.01005706923)
	(0.01021364819,-0.02641394604)	(0.0239163481,0.01349170772)	(0.01374013617,-0.02478469882)	(0.02142528031,0.01153305463)	(0.01168070319,-0.02187373917)
	(-0.002928538932,-0.003331238511)	(0.01757039197,0.01701666127)	(0.01729615086,-0.01796927456)	(-0.001866425928,-0.003912534474)	(0.02189403021,0.01669167738)
	(0.01706369267,-0.02281929968)	(0.015091662,0.01933305642)	(0.01962279714,-0.01550636272)	(0.01956015453,0.01946498199)	(0.01989531238,-0.02044724144)
	(-0.001294754182,-0.001597191524)	(-0.00154780248,0.001276733634)	(-0.001906757713,-0.001861327334)	(-0.00180662109,0.001902299217)	(-0.0001143265835,0.0005283412495)
	(-0.001431304582,-0.002223889421)	(-0.002198546094,0.001428971038)	(-0.001979796557,-0.002705714842)	(-0.002649379702,0.001974779811)	(-0.002453223057,-0.002327888346)
	(-0.002257700781,0.002457088311)	(-0.005433559919,-0.0002470751228)	(-0.000168595359,0.005475704517)	(-0.004833287583,0.0007148264434)	(0.0007956666683,0.004850616154)
	(0.000523593333,0.0003841572529)	(-0.006517117081,0.001582384694)	(0.001642539056,0.006463114424)	(-0.006394744359,-0.000115428561)	(-6.600917851e-006,0.006363553103)
	(-0.006969143101,-0.00143255496)	(-0.001327972133,0.006884631342)	(-0.004891368101,-0.001308936257)	(-0.00128151181,0.004873471562)	(-0.005841237113,-0.002468132991)
	(-0.002390552491,0.005791057582)	(-0.005873632892,-0.001365762427)	(-0.001326336967,0.005772203117)	(0.0005579432304,0.000805360475)	(-0.004085883389,-0.001268573608)
	(-0.001187475978,0.004067122506)	(0.0002718686678,0.0006215874725)	(-0.004837245059,-0.00225117354)	(-0.002190499636,0.004845296975)	(-0.003707029447,-0.002127257641)
	(-0.002035264152,0.003685215685)	(-0.00361525182,-0.003904746988)	(-0.003850002332,0.003595554833)	(-0.003139388473,-0.00291463217)	(-0.002813970565,0.003129997618)
	(-9.835080003e-006,0.0007988014976)	(-0.002567886073,-0.003410097417)	(-0.003341931958,0.002552131507)	(-0.00422072117,-0.003263260403)	(-0.00322964004,0.004222035264)
	(-0.0008691396807,0.01582229858)	(0.01595485247,0.0007886551934)	(9.785210385e-005,0.01789995319)	(0.01805941675,-0.0001362759406)	(0.00272414383,0.0176525314)
	(0.01786579199,-0.002800867843)	(0.001866342554,0.01567323957)	(0.0157746258,-0.001908518955)	(0.0005440021572,-0.002446762373)	(-0.006820849736,0.01441871882)
	(0.01452025974,0.006766554605)	(-0.00541668765,0.0172154285)	(0.01743243658,0.005295220374)	(-0.003632508482,0.01553473391)	(0.01560703519,0.003531947583)
	(0.001543268773,-0.002054476965)	(-0.002983524782,0.01776846392)	(0.01790533876,0.002960431799)	(-0.008968721614,0.01575551317)	(0.0159650984,0.008914019612)
	(0.004869690299,0.0218226319)	(0.02217791865,-0.005016777666)	(0.003738644968,0.01979596814)	(0.02010952884,-0.003879764734)	(0.0006429685124,-0.003283701626)
	(0.0008144697628,0.02022572537)	(0.02049382844,-0.000898881006)	(0.001783279448,0.02235219188)	(0.02270809411,-0.001973999071)	(0.01675852958,0.02201110547)
	(0.0225821586,-0.01762297559)	(0.01355169337,0.02416655321)	(0.02480762053,-0.01438503984)	(0.01226375601,0.02128651129)	(0.02164926923,-0.01266369578)
