96935	
	(0.003336217281,-0.00229174915)	(-0.0006801910406,0.0004659157798)	(0.0008588370135,-0.0005898845916)	(0.003144666664,-0.002160142429)	(-0.0007404166631,0.0005074193114)
	(0.0007323878014,-0.0005030391205)	(0.00310745647,-0.002134504853)	(-0.0006589128622,0.0004514413221)	(0.003085279703,-0.002119355692)	(-0.0007688495206,0.0005269968352)
	(0.003060773598,-0.002102473831)	(-0.0007183858037,0.0004923389005)	(0.003000968394,-0.002061271963)	(-0.0005946496132,0.0004073660802)	(0.003027665629,-0.002079656886)
	(-0.0006455572115,0.0004423226601)	(0.002853962924,-0.001960704327)	(-0.001130685746,0.0007757335782)	(0.002804478354,-0.001926705087)	(-0.001129357542,0.0007748475558)
	(0.00278044163,-0.001910228778)	(-0.001184173366,0.0008125181663)	(0.00283582533,-0.001948268543)	(-0.001168617539,0.0008018028842)	(0.0003342007381,-0.0002295129996)
	(0.003010660429,-0.002068310357)	(-0.001051767338,0.0007214301974)	(0.0004606941758,-0.0003164004606)	(0.002881781156,-0.001979761443)	(-0.0010549192,0.0007236652044)
	(0.00282184998,-0.001938613894)	(-0.001095522551,0.0007515929965)	(0.002940983172,-0.002020452334)	(-0.001074766956,0.0007372701437)	(0.002869981541,-0.001971682361)
	(-0.001095198952,0.0007513448457)	(0.0003805030893,-0.000261321279)	(0.002951180074,-0.002027428732)	(-0.001034583893,0.0007096567137)	(0.002991735088,-0.002055275654)
	(-0.001010599625,0.0006931561038)	(0.002973976764,-0.002043041857)	(-0.00096990151,0.0006652046862)	(0.000487438312,-0.0003347780824)	(0.0030818063,-0.002117106983)
	(-0.000934555213,0.0006408561585)	(0.0005602016182,-0.0003847554218)	(0.003025882506,-0.002078560372)	(-0.0007936511046,0.0005440771052)	(0.0006324696127,-0.0004344083073)
	(0.002943592189,-0.002022130201)	(-0.0009282185421,0.0006365827776)	(0.002995872924,-0.002058040048)	(-0.0009127898095,0.000625951554)	(0.003027675752,-0.002079926394)
	(-0.0009548631979,0.0006548409149)	(0.003001916322,-0.002062049672)	(-0.0007391347582,0.0005066329726)	(0.00293402435,-0.002015609262)	(-0.0009955430984,0.0006828431236)
	(0.003053364784,-0.002097502854)	(-0.0008602778543,0.0005898362032)	(0.002970810647,-0.002040759409)	(-0.0008463735331,0.0005803334656)	(0.002927331769,-0.002010549898)
	(-0.0004675073553,0.0003200696043)	(0.002979752844,-0.00204665036)	(-0.0005485401955,0.0003757008963)	(0.002955448901,-0.002029912039)	(-0.0005105238173,0.0003496040941)
	(0.002883903558,-0.001980711409)	(-0.000474015054,0.0003245793076)	(0.002751357494,-0.001890219491)	(-0.001142614604,0.0007839813335)	(0.002680944322,-0.001841851804)
	(-0.001153706258,0.0007916367602)	(0.002723474678,-0.001871098437)	(-0.001197602018,0.0008217711634)	(0.0002809328121,-0.0001929259062)	(0.002675168814,-0.001837905357)
	(-0.001185988256,0.0008138162613)	(0.002683951978,-0.001843955711)	(-0.001218798801,0.0008363500957)	(0.002709670488,-0.001861628383)	(-0.001224810285,0.0008404673831)
	(0.002661402757,-0.001828474843)	(-0.001273953298,0.0008742406982)	(0.002665484055,-0.001831276309)	(-0.001246410943,0.0008553241432)	(0.002691073178,-0.001848860152)
	(-0.001252457753,0.0008594657404)	(0.0002572978866,-0.0001766883671)	(0.002635993188,-0.001811014494)	(-0.001267212776,0.0008696224286)	(0.002632935888,-0.001808863603)
	(-0.001141495556,0.0007832713763)	(0.002593748033,-0.00178197963)	(-0.001286781563,0.0008830744591)	(0.002700556267,-0.001855372488)	(-0.00131511809,0.000902489325)
	(0.002528120246,-0.001736856313)	(-0.001315770522,0.0009029959066)	(0.002646329829,-0.001818110922)	(-0.001301680284,0.0008932840036)	(0.002556976244,-0.001756684524)
	(-0.001323939762,0.0009085938121)	(0.002620026118,-0.001800036567)	(-0.001294512487,0.0008883726632)	(0.0002329859918,-0.000159986917)	(0.00258160828,-0.001773609483)
	(-0.00133194139,0.0009140780706)	(0.002607410705,-0.001791339021)	(-0.001338849925,0.0009188111158)	(0.002673236596,-0.001836599784)	(-0.001308336003,0.0008978432153)
	(0.0002466044468,-0.0001693385359)	(0.002728214075,-0.001874377646)	(-0.001321237085,0.0009066795811)	(0.0002598254363,-0.0001784169559)	(0.002632663303,-0.001808690382)
	(-0.001345949972,0.0009236756444)	(0.002756743817,-0.001893982038)	(-0.001327184447,0.0009107519257)	(0.002657124013,-0.001825497797)	(-0.001352035944,0.0009278441584)
	(0.003485056102,-0.002394057221)	(-0.0006763559085,0.0004631952349)	(0.003478870865,-0.002389857192)	(-0.0007450726605,0.0005104248129)	(0.0008375757982,-0.0005752665238)
	(0.003531286912,-0.002425872447)	(-0.0007242512181,0.0004960887648)	(0.00353695447,-0.002429812069)	(-0.0007827876107,0.0005363171884)	(0.003494700433,-0.002400778665)
	(-0.0007989029939,0.0005474126575)	(0.00335930189,-0.002307832795)	(-0.0009612364219,0.0006590405973)	(0.003313221679,-0.002276152804)	(-0.0009471523949,0.0006493861374)
	(0.0006310003473,-0.0004333725983)	(0.003301288994,-0.002268006251)	(-0.001019448429,0.0006990726559)	(0.00335806471,-0.002307011025)	(-0.000999671098,0.0006854535629)
	(0.003405955497,-0.002339935609)	(-0.001012081815,0.0006939589932)	(0.003405758809,-0.002339741885)	(-0.0009312964074,0.000638442087)	(0.003449270189,-0.00236967878)
	(-0.0009741849712,0.0006678949557)	(0.003405658319,-0.002339702946)	(-0.0009720666908,0.0006664600596)	(0.0006354310797,-0.0004364092538)	(0.003405123536,-0.002339274848)
	(-0.0008884116626,0.0006089722107)	(0.0006990965232,-0.0004801445689)	(0.003449569833,-0.002369854069)	(-0.0009325031467,0.0006392504709)	(0.003457058553,-0.002374959669)
	(-0.0008719809207,0.0005976549143)	(0.003542179337,-0.002433488201)	(-0.0009024910665,0.0006185807624)	(0.00350880565,-0.002410515401)	(-0.00085298998,0.0005845778682)
	(0.0007473503044,-0.0005132848395)	(0.003552173762,-0.002440314923)	(-0.0008393924467,0.0005752119477)	(0.003501976686,-0.002405863856)	(-0.000915558094,0.0006275795236)
	(0.003003438696,-0.002063481104)	(-0.001240607712,0.0008511814554)	(0.002979649901,-0.002047149376)	(-0.001268766151,0.0008705371021)	(0.002946496261,-0.002024367291)
	(-0.001265885228,0.0008685733661)	(0.002964498897,-0.002036722882)	(-0.001237755508,0.0008492401139)	(0.0003485519118,-0.0002393610277)	(0.003092459075,-0.002124652837)
	(-0.001244121717,0.0008535539163)	(0.003050035034,-0.002095515521)	(-0.001273590368,0.0008738187669)	(0.003041996865,-0.002089976563)	(-0.001242552537,0.0008524992878)
	(0.0003683191627,-0.0002529354558)	(0.003018248597,-0.002073672913)	(-0.001271618348,0.0008724783886)	(0.003100027869,-0.002129868835)	(-0.001275125037,0.000874849445)
	(0.002888498535,-0.001984525522)	(-0.001318117878,0.0009044735257)	(0.002920602027,-0.002006583688)	(-0.001293994927,0.0008878933376)	(0.0003143493036,-0.0002158651922)
	(0.002953393434,-0.002029116769)	(-0.001297639385,0.0008903816866)	(0.002918879864,-0.002005402044)	(-0.001321908017,0.0009070630646)	(0.002682739251,-0.001843098269)
	(-0.001358339897,0.0009321615319)	(0.002709570793,-0.001861534815)	(-0.0013637724,0.0009358799263)	(0.002785992091,-0.001914080274)	(-0.001332560054,0.000914431247)
	(0.0002729524995,-0.0001874310831)	(0.002812770641,-0.001932480104)	(-0.001337519609,0.0009178245306)	(0.002842138123,-0.001952660216)	(-0.001341847888,0.0009207841005)
	(0.0002861380976,-0.0001964851939)	(0.002736179203,-0.001879818077)	(-0.001369498051,0.0009397998809)	(0.002763715999,-0.00189873935)	(-0.001374126079,0.0009429652497)
	(0.002871326084,-0.001972716504)	(-0.001345987838,0.0009236141289)	(0.003252261904,-0.002234400226)	(-0.001142581871,0.0007837090004)	(0.003324802975,-0.002284237485)
	(-0.001121916973,0.0007694745033)	(0.003286443221,-0.002257884371)	(-0.001134129704,0.0007778845022)	(0.003384626104,-0.002325337745)	(-0.001100823592,0.0007549514794)
	(0.003344585926,-0.002297801975)	(-0.001075640091,0.0007376646513)	(0.003286333247,-0.002257780994)	(-0.001094255206,0.0007504849179)	(0.0005202171506,-0.0003572700855)
	(0.003143574078,-0.00215977713)	(-0.001244304766,0.0008536554587)	(0.0003946960648,-0.0002710490672)	(0.003163860846,-0.002173732656)	(-0.001275780973,0.0008752704293)
	(0.003180650336,-0.002185238991)	(-0.00121743834,0.0008351789979)	(0.003131389799,-0.002151420029)	(-0.001275451338,0.000875058893)	(0.003251748415,-0.002234074405)
	(-0.001182644967,0.0008112385019)	(0.003206538491,-0.002203046157)	(-0.001247184098,0.0008556044721)	(0.003215308188,-0.002209036601)	(-0.001189954677,0.000816278119)
	(0.0004425345949,-0.0003039087918)	(0.003246967525,-0.002230811761)	(-0.001220011289,0.0008369155202)	(0.002538069734,-0.001742895185)	(-0.0001064886268,7.271753095e-005)
	(0.002515536481,-0.00172751367)	(-9.422971693e-005,6.437502859e-005)	(0.002547933954,-0.001749850535)	(-0.0001196625156,8.20297267e-005)	(0.002523057124,-0.001732588286)
	(-6.961081919e-005,4.795427346e-005)	(3.552722169e-007,-2.145604014e-007)	(0.002539374179,-0.001743811634)	(-6.203112392e-005,4.222323072e-005)	(0.002529821564,-0.001737403105)
	(-5.094494731e-005,3.489875779e-005)	(0.002537711287,-0.001742739026)	(-7.493909786e-005,5.146363938e-005)	(0.003098594723,-0.002128293737)	(-0.0005180893157,0.0003546772256)
	(0.00304421461,-0.002090941196)	(-0.0005430417454,0.0003718690779)	(0.003067451372,-0.002106950919)	(-0.0005891415325,0.0004035305429)	(0.0008247764921,-0.0005665181173)
	(0.00313544042,-0.002153672969)	(-0.0005817315792,0.0003983908204)	(0.003072230238,-0.002110131727)	(-0.0004724944057,0.0003233695297)	(0.003018393251,-0.002073153978)
	(-0.0004972559293,0.0003404312119)	(0.0008774032191,-0.0006026799466)	(0.003040029719,-0.002087966813)	(-0.000435786627,0.0002981761113)	(0.002992376556,-0.002055232046)
	(-0.0004553086116,0.0003116316212)	(0.0030095592,-0.002066982661)	(-0.0003956106083,0.0002705868243)	(0.003239106381,-0.002224867975)	(-0.000513427897,0.0003513733852)
	(0.00326467899,-0.002242489501)	(-0.0005646460839,0.0003865573216)	(0.00316545674,-0.002174239397)	(-0.0005056889709,0.0003461050163)	(0.003204543613,-0.002201161446)
	(-0.0005681508314,0.000389008889)	(0.0009134610973,-0.0006274205876)	(0.003463485502,-0.002379135473)	(-0.0005500202991,0.0003763790943)	(0.003381955981,-0.002323073842)
	(-0.0005241635816,0.0003586556727)	(0.00340617514,-0.00233976312)	(-0.0005824536227,0.0003987036806)	(0.003297816726,-0.002265215686)	(-0.0005013231362,0.0003430119798)
	(0.003327223171,-0.00228547344)	(-0.0005533919519,0.0003787786756)	(0.0009795404284,-0.0006728010348)	(0.002569645852,-0.001764499865)	(-0.0001345841192,9.169946226e-005)
	(0.002658964927,-0.001825949618)	(-0.0002448206368,0.0001674959461)	(0.00282260585,-0.001938563472)	(-0.0004333890253,0.0002967464367)	(0.002817658932,-0.001935089076)
	(-0.0003768866469,0.0002579276617)	(0.002909197644,-0.001997963754)	(-0.0003613588035,0.0002471656527)	(0.002860855254,-0.001964759625)	(-0.000370517373,0.0002535052543)
	(0.002965167539,-0.002036489409)	(-0.0004103941406,0.0002807883143)	(0.0009304905022,-0.0006391599776)	(0.002986971125,-0.002051419739)	(-0.0003558812929,0.0002433208073)
	(0.002868694503,-0.001970212906)	(-0.0004229833767,0.000289538141)	(0.0008185610508,-0.0005622854211)	(0.002915349741,-0.002002269543)	(-0.0004184620587,0.0002863918663)
	(0.002928804555,-0.002011381751)	(-0.0003162765526,0.0002161518556)	(0.00355770711,-0.002443925372)	(-0.0005712026444,0.0003908867078)	(0.003488114444,-0.002396109584)
	(-0.0006063372237,0.0004150726046)	(0.0009644935516,-0.0006624503865)	(0.003506259283,-0.002408551079)	(-0.0005614029007,0.0003841778625)	(0.003536403283,-0.00242933721)
	(-0.0006529507763,0.0004470832975)	(0.003540033058,-0.002431703212)	(-0.0004665258787,0.0003189460339)	(0.003524178345,-0.002420836858)	(-0.0005168527829,0.000353546521)
	(0.001062509025,-0.0007297762989)	(0.003575411882,-0.002456064149)	(-0.00052404967,0.0003584679119)	(0.003481117269,-0.002391224279)	(-0.0005067625431,0.000346637165)
	(0.002914556624,-0.002001860497)	(-0.0005561594254,0.0003809880191)	(0.002952475046,-0.002028117225)	(-0.0007890555108,0.0005409677948)	(0.002886771084,-0.001982909374)
	(-0.0007166535203,0.0004912690819)	(0.002958992004,-0.002032472134)	(-0.000643767347,0.00044114317)	(0.002982173954,-0.00204844137)	(-0.0006941052439,0.0004757088594)
	(0.000678915266,-0.0004663232616)	(0.002867565747,-0.001969671674)	(-0.0006660140938,0.0004564957028)	(0.002870568612,-0.001971686809)	(-0.0006068038809,0.0004158193947)
	(0.002938731259,-0.002018507451)	(-0.0005999705073,0.0004110690189)	(0.0007218827756,-0.000495848727)	(0.00270588345,-0.0018589501)	(-0.001103767001,0.0007573168053)
	(0.002757722224,-0.001894523693)	(-0.001048451032,0.0007192893089)	(0.002774666835,-0.001906194273)	(-0.001092677019,0.0007496610428)	(0.0003400352605,-0.0002335283259)
	(0.002835277743,-0.001947810742)	(-0.001055297593,0.0007239494464)	(0.002816720351,-0.001935029317)	(-0.00101348474,0.0006952347891)	(0.002894161512,-0.001988237263)
	(-0.001014093246,0.0006956094523)	(0.0004286686377,-0.0002944099413)	(0.00285532084,-0.001961517011)	(-0.0009723009056,0.0006669192137)	(0.002905941342,-0.001996279674)
	(-0.0009497857584,0.0006514223082)	(0.002855949808,-0.001961807431)	(-0.0008035662221,0.0005510005937)	(0.002916081915,-0.002003191473)	(-0.0008905252329,0.0006106987445)
	(0.0005084259804,-0.0003492034061)	(0.002868555847,-0.001970556011)	(-0.0009096715823,0.000623882197)	(0.002840551248,-0.001951279807)	(-0.0008610409398,0.0005904947061)
	(0.002808140387,-0.001928727441)	(-0.0005316342376,0.0003642330789)	(0.002834390486,-0.001946702915)	(-0.0004774525609,0.0003269977275)	(0.002852805558,-0.001959442073)
	(-0.0005716456508,0.0003916835668)	(0.00289479406,-0.001988239463)	(-0.0005206569928,0.0003566150034)	(0.0007557022892,-0.0005190928179)	(0.0027804967,-0.001909631486)
	(-0.0004388061391,0.0003005000418)	(0.0006898265969,-0.0004738596023)	(0.002756568134,-0.00189325662)	(-0.0004906377828,0.0003361261013)	(0.002714906576,-0.001864606725)
	(-0.0004526335047,0.0003100736178)	(0.002735325256,-0.001878556044)	(-0.0003902885423,0.0002672405702)	(0.002677570088,-0.001838905197)	(-0.0004026556292,0.000275797021)
	(0.002638373849,-0.001811970045)	(-0.0003751872292,0.0002569485768)	(0.002655328436,-0.001823512819)	(-0.0002888523378,0.000197676647)	(0.002603020808,-0.001787652229)
	(-0.0003094174877,0.0002118847795)	(0.002587397222,-0.001776804035)	(-0.0001975474779,0.0001349309724)	(0.002630849314,-0.001806625395)	(-0.0002046279779,0.000140048916)
	(0.002588867839,-0.001777764699)	(-0.0001641838106,0.0001123969282)	(0.002611871999,-0.001793626611)	(-0.0002446613563,0.0001674214616)	(0.0005233606989,-0.0003595507821)
	(0.002569497069,-0.001764613807)	(-0.0002360385907,0.0001617117806)	(0.002579245783,-0.001771262093)	(-0.0002774074277,0.0001898644561)	(0.00250502981,-0.001720324529)
	(-0.0001254748064,8.589298942e-005)	(-6.798327739e-006,4.575700374e-006)	(0.002540404581,-0.001744524899)	(-0.0001574043865,0.0001075073318)	(0.0002483727257,-0.0001706529588)
	(0.002510532098,-0.001724085274)	(-0.0001768808179,0.0001210527732)	(0.002541334751,-0.001745290998)	(-0.0001859257972,0.0001273109778)	(0.002526911241,-0.001735245187)
	(-0.0001384700586,9.471462086e-005)	(0.002492151733,-0.001711513928)	(-0.0001503572396,0.0001029023769)	(0.002691834666,-0.001849266354)	(-0.001059649455,0.000727014344)
	(0.002596194281,-0.001783619429)	(-0.001136361477,0.0007797622455)	(0.002617665513,-0.001798320515)	(-0.00106622707,0.0007315739899)	(0.002638579503,-0.001812718368)
	(-0.001111436213,0.000762618649)	(0.0002733321731,-0.000187713911)	(0.002573519398,-0.001768017257)	(-0.001097339157,0.0007529680682)	(0.002531003837,-0.001738826587)
	(-0.00112123552,0.0007694038632)	(0.002625292569,-0.001803631765)	(-0.001173887126,0.0008055263)	(0.0002511276563,-0.0001724578478)	(0.002588224075,-0.001778163055)
	(-0.001168577569,0.0008018968393)	(0.002582914313,-0.001774541574)	(-0.001251680807,0.0008589775884)	(0.002586438837,-0.001776958327)	(-0.001218362899,0.0008360940296)
	(0.002635407069,-0.001810597543)	(-0.001206760399,0.000828103204)	(0.002609286012,-0.001792662724)	(-0.001259424499,0.0008642846676)	(0.002640099834,-0.00181383317)
	(-0.001239415448,0.0008505305239)	(0.0002418719329,-0.0001660949152)	(0.002503970894,-0.001720262907)	(-0.001307169816,0.0008970997167)	(0.002542275231,-0.0017466103)
	(-0.001270593215,0.0008719782897)	(0.002481719003,-0.001704973559)	(-0.001299326312,0.0008917232059)	(0.002567945493,-0.00176424979)	(-0.001278805926,0.0008776079479)
	(0.0002196326523,-0.0001508175008)	(0.002517437823,-0.001729536978)	(-0.001173689269,0.0008054408391)	(0.002522255351,-0.001732855674)	(-0.001202908303,0.0008255071401)
