96935	
	(-0.002441378024,-0.003666499592)	(-0.0003202167159,-0.000480906458)	(-0.002428642415,-0.003647373055)	(-0.0003428484371,-0.0005148951297)	(-0.002486675218,-0.003734527624)
	(-0.0003508633142,-0.0005269319972)	(-0.00244414739,-0.003670658668)	(-0.0003569394614,-0.0005360572499)	(-0.002474599008,-0.003716391384)	(-0.0003782588319,-0.000568075013)
	(-0.002458778775,-0.00369263231)	(-0.0003350425068,-0.000503172062)	(-0.0004979153878,-0.0007477770947)	(-0.002411821373,-0.003622110952)	(-0.0002390621446,-0.0003590272571)
	(-0.000422326918,-0.0006342571519)	(-0.002387653404,-0.00358581512)	(-0.0002518492963,-0.000378231201)	(-0.002399073902,-0.003602966601)	(-0.0002069459852,-0.000310794708)
	(-0.002383807344,-0.003580039047)	(-0.0002141698172,-0.0003216435715)	(-0.002346344802,-0.003523777216)	(-0.000230365013,-0.0003459657693)	(-0.002362075051,-0.003547401151)
	(-0.0002239287013,-0.000336299616)	(-0.002370396355,-0.003559898214)	(-1.010639076e-005,-1.517793526e-005)	(-0.002351518903,-0.003531547762)	(5.819769115e-006,8.740220022e-006)
	(-0.002346388522,-0.003523842875)	(3.059442015e-005,4.594717732e-005)	(-0.002365001111,-0.003551795553)	(8.124615387e-006,1.22016741e-005)	(-0.0001831747423,-0.0002750946848)
	(-0.002414438632,-0.003626041593)	(-8.739764242e-005,-0.0001312551424)	(-0.0002595646286,-0.0003898182074)	(-0.002371534456,-0.003561607432)	(-4.344469578e-005,-6.524592167e-005)
	(-0.002355334155,-0.003537277568)	(-9.89774766e-006,-1.48645918e-005)	(-0.002395099164,-0.003596997277)	(-5.631140183e-005,-8.456934148e-005)	(-0.002371566109,-0.003561654969)
	(-2.580095906e-005,-3.874828271e-005)	(-0.0002115412719,-0.0003176959813)	(-0.002392909885,-0.003593709385)	(-7.305727738e-005,-0.0001097185585)	(-0.002403807538,-0.003610075649)
	(-9.440304281e-005,-0.000141775962)	(-0.002393463871,-0.003594541369)	(-0.0001013100938,-0.0001521490789)	(-0.0002760610115,-0.0004145927324)	(-0.00242283558,-0.003638652259)
	(-0.0001511034177,-0.0002269294692)	(-0.0003194818489,-0.0004798028232)	(-0.002384993123,-0.003581819868)	(-0.0001764967135,-0.000265065517)	(-0.0003628929491,-0.0005449982906)
	(-0.002377663516,-0.003570812149)	(-0.0001043755329,-0.0001567528032)	(-0.002392293678,-0.003592783955)	(-0.0001276257764,-0.0001916703815)	(-0.002408645399,-0.003617341225)
	(-0.0001247735293,-0.0001873868322)	(-0.002369544651,-0.003558619112)	(-0.0001869156958,-0.000280712907)	(-0.002382856392,-0.003578610891)	(-7.946411901e-005,-0.0001193404532)
	(-0.002403310444,-0.003609329106)	(-0.0001657143543,-0.0002488724017)	(-0.002374627716,-0.003566252937)	(-0.0001393497665,-0.0002092776525)	(-0.002303290921,-0.003459118227)
	(-0.0002382515332,-0.0003578098682)	(-0.002333222471,-0.003504069895)	(-0.0002353906749,-0.0003535133866)	(-0.002320042682,-0.003484276283)	(-0.0002359877974,-0.0003544101546)
	(-0.002296629603,-0.003449114156)	(-0.0002158081164,-0.0003241039949)	(-0.002333634278,-0.003504688353)	(2.609677269e-005,3.919254022e-005)	(-0.002306486242,-0.00346391701)
	(5.172821697e-005,7.768624298e-005)	(-0.002321799361,-0.003486914491)	(5.236767477e-005,7.864659069e-005)	(-0.0001513982679,-0.0002273722798)	(-0.002303905071,-0.003460040566)
	(6.303640004e-005,9.466904869e-005)	(-0.002298324073,-0.003451658936)	(6.992379523e-005,0.0001050126462)	(-0.002308202298,-0.003466494209)	(6.383371015e-005,9.586646143e-005)
	(-0.002239973505,-0.003364027144)	(8.873787008e-005,0.0001332679172)	(-0.002272354322,-0.00341265716)	(8.231342533e-005,0.0001236195859)	(-0.002282128998,-0.003427336921)
	(7.60831555e-005,0.0001142628695)	(-0.0001364381009,-0.0002049048678)	(-0.002230599054,-0.003349948447)	(9.459121753e-005,0.0001420585657)	(-0.002287793797,-0.003435844404)
	(6.152258965e-005,9.239558463e-005)	(-0.002160913781,-0.003245294017)	(0.0001072264557,0.0001610343634)	(-0.002196668257,-0.003298990647)	(8.204088289e-005,0.0001232102774)
	(-0.00201919267,-0.003032455042)	(0.0001230779543,0.0001848403913)	(-0.002178515481,-0.003271728526)	(9.531542239e-005,0.0001431461879)	(-0.002029505294,-0.003047942703)
	(0.0001161932372,0.0001745008158)	(-0.002169956826,-0.003258875004)	(0.0001014525606,0.0001523630377)	(-0.0001212156878,-0.0001820436104)	(-0.002035350439,-0.003056721032)
	(0.0001105051214,0.0001659583147)	(-0.002042738173,-0.003067816046)	(0.000103881914,0.0001560114786)	(-0.002187368388,-0.003285023959)	(8.859015384e-005,0.0001330460747)
	(-0.0001291685297,-0.0001939873124)	(-0.002205969624,-0.003312959585)	(7.477590096e-005,0.0001122996143)	(-0.000136689986,-0.0002052831528)	(-0.002048545637,-0.003076537785)
	(9.732903972e-005,0.0001461702698)	(-0.002216099374,-0.003328172602)	(6.762438654e-005,0.0001015593584)	(-0.002054591384,-0.003085617384)	(9.074910865e-005,0.0001362884267)
	(-0.002503755971,-0.003760179766)	(-0.0003955718003,-0.000594075899)	(-0.002515584328,-0.003777943776)	(-0.0003673102608,-0.0005516322781)	(-0.0004864211743,-0.0007305149056)
	(-0.00252825623,-0.003796974636)	(-0.0003950828031,-0.0005933415153)	(-0.002542342141,-0.003818129077)	(-0.0003750091713,-0.000563194622)	(-0.002531603035,-0.00380200092)
	(-0.0003530292693,-0.0005301848624)	(-0.002517202243,-0.003780373586)	(-0.0002423721845,-0.0003639983266)	(-0.002499732639,-0.003754137462)	(-0.0002306532568,-0.0003463986583)
	(-0.0003622522112,-0.0005440360204)	(-0.002508161036,-0.003766795361)	(-0.0002011634968,-0.0003021104768)	(-0.002523376295,-0.003789645873)	(-0.0002282997716,-0.0003428641574)
	(-0.002541753853,-0.003817245578)	(-0.0002417223749,-0.0003630224325)	(-0.002526990071,-0.003795073099)	(-0.0002708442921,-0.0004067581819)	(-0.002549297933,-0.003828575394)
	(-0.0002711713063,-0.0004072492969)	(-0.002534152965,-0.003805830445)	(-0.0002562555878,-0.0003848486382)	(-0.0003654285636,-0.000548806316)	(-0.002519490933,-0.003783810777)
	(-0.0002864583978,-0.0004302076893)	(-0.0004034812198,-0.0006059543885)	(-0.002542061378,-0.003817707423)	(-0.0002859715917,-0.0004294765963)	(-0.00253371434,-0.003805171711)
	(-0.00031181574,-0.0004682897413)	(-0.002567003988,-0.003855166623)	(-0.00033180428,-0.0004983088424)	(-0.002546979044,-0.003825092851)	(-0.0003385796428,-0.0005084841879)
	(-0.0004330890751,-0.0006504199274)	(-0.002558423097,-0.003842279708)	(-0.0003596541119,-0.0005401341543)	(-0.00255595753,-0.00383857688)	(-0.0003120851062,-0.0004686942797)
	(-0.002426809534,-0.003644620406)	(-2.374441476e-005,-3.56597324e-005)	(-0.002409298814,-0.003618322534)	(-8.096331392e-006,-1.215919675e-005)	(-0.002397406455,-0.003600462404)
	(1.903884783e-006,2.859283861e-006)	(-0.002411564266,-0.003621724824)	(-1.196382676e-005,-1.796746161e-005)	(-0.0001910363776,-0.0002869014113)	(-0.00245907291,-0.003693074047)
	(-5.231682336e-005,-7.857022125e-005)	(-0.00243510347,-0.003657076368)	(-2.957391607e-005,-4.441456838e-005)	(-0.002440179588,-0.003664699762)	(-3.586237505e-005,-5.385867415e-005)
	(-0.0002028483153,-0.0003046407635)	(-0.002423033878,-0.003638950067)	(-1.996955674e-005,-2.999059175e-005)	(-0.00245220781,-0.003682763933)	(-4.62849093e-005,-6.951139863e-005)
	(-0.002320209267,-0.003484526463)	(2.951096914e-005,4.43200337e-005)	(-0.002366813154,-0.003554516907)	(1.64876587e-005,2.476142298e-005)	(-0.0001698812347,-0.0002551302876)
	(-0.002378260286,-0.003571708388)	(6.766639543e-006,1.01622448e-005)	(-0.002330081243,-0.003499352351)	(2.060235653e-005,3.094094035e-005)	(-0.002059930814,-0.003093636223)
	(8.355578928e-005,0.0001254853875)	(-0.002066764413,-0.003103899029)	(7.553402973e-005,0.0001134381839)	(-0.002226606724,-0.003343952704)	(5.991224781e-005,8.997714814e-005)
	(-0.0001447218437,-0.000217345522)	(-0.002232063652,-0.003352148003)	(5.159795971e-005,7.74906206e-005)	(-0.002241856565,-0.003366855153)	(4.308438e-005,6.470479381e-005)
	(-0.0001524569923,-0.0002289622887)	(-0.002073082958,-0.003113388318)	(6.809271732e-005,0.0001022627048)	(-0.002080126743,-0.003123966784)	(5.925611878e-005,8.899176332e-005)
	(-0.002250444161,-0.003379752139)	(3.432496166e-005,5.154976275e-005)	(-0.002510509045,-0.003770321638)	(-0.0001405056857,-0.00021101363)	(-0.002531875736,-0.003802410467)
	(-0.0001728181365,-0.0002595409726)	(-0.002519736371,-0.003784179379)	(-0.0001556064413,-0.0002336921803)	(-0.002549109987,-0.003828293134)	(-0.0002021992327,-0.0003036659611)
	(-0.002531350412,-0.003801621528)	(-0.000196787998,-0.0002955392845)	(-0.0025143418,-0.003776077728)	(-0.000169290712,-0.0002542434315)	(-0.0002955979206,-0.0004439335673)
	(-0.002476978715,-0.003719965264)	(-6.976049577e-005,-0.0001047674005)	(-0.0002191470909,-0.0003291185189)	(-0.002473742312,-0.003715104784)	(-6.804787346e-005,-0.0001021953576)
	(-0.002492160529,-0.003742765549)	(-9.065771915e-005,-0.0001361511765)	(-0.002463115936,-0.003699145927)	(-5.720991929e-005,-8.591874902e-005)	(-0.002515181943,-0.003777339469)
	(-0.0001264918831,-0.0001899674827)	(-0.002498011442,-0.003751552542)	(-9.03851604e-005,-0.0001357418435)	(-0.002501755715,-0.003757175749)	(-0.0001112106851,-0.0001670179413)
	(-0.0002481117977,-0.0003726181672)	(-0.002512033498,-0.003772611084)	(-0.0001125338684,-0.0001690051185)	(-0.002237712257,-0.003360631166)	(-8.520190267e-005,-0.0001279575462)
	(-0.00224467447,-0.003371087126)	(-7.867158213e-005,-0.000118150209)	(-0.002223777166,-0.00333970323)	(-9.390233279e-005,-0.0001410239879)	(-0.002247208526,-0.003374892811)
	(-6.685180169e-005,-0.0001003990784)	(-9.947529935e-007,-1.49393556e-006)	(-0.002236873174,-0.003359371018)	(-5.714582602e-005,-8.582249275e-005)	(-0.002250015362,-0.003379108161)
	(-5.091509424e-005,-7.646508258e-005)	(-0.002234549303,-0.003355880992)	(-7.595907982e-005,-0.0001140765307)	(-0.002356451935,-0.003538956267)	(-0.0002956978464,-0.0004440836373)
