96935	
	(-0.000452279965,3.846590453e-005)	(0.0002037019722,-5.438198741e-005)	(-0.000396012369,7.368781994e-005)	(0.0002143252428,-6.918214927e-005)	(-0.0004271137917,-3.454642367e-006)
	(0.0001809784443,-5.84055525e-005)	(-0.0003998779709,0.0001169957708)	(8.305684926e-006,0.001694624409)	(0.0001670193249,5.207444832e-006)	(-0.0001035791592,0.0002245832515)
	(-1.45591396e-005,0.001403522067)	(0.0001911151133,-3.421434986e-006)	(-7.868002923e-005,0.0002059373529)	(0.0001789899532,2.068489466e-005)	(-1.002715822e-005,0.0001626750832)
	(0.0001960493545,-1.107859519e-006)	(-1.350785758e-005,0.0001327423819)	(0.0002118431533,-1.403109419e-005)	(-4.602179484e-006,8.586556937e-005)	(0.0002016469283,-1.114516643e-005)
	(-1.320083669e-005,0.0001005573454)	(0.0009973343713,-0.0005272521982)	(-0.0004905549592,-0.0009537873687)	(0.0007313307839,-0.0008152762835)	(-0.0008789015729,-0.0007143599767)
	(0.0009236631867,-0.001401202821)	(-0.001452579378,-0.000941308551)	(0.001257297536,-0.000809945528)	(-0.0008087141603,-0.001226196596)	(-0.0003583217101,0.0006736032258)
	(0.0004836634881,0.0003106331089)	(0.0003591366039,-0.0002890729271)	(-0.0001216723437,0.0007678319926)	(0.0006057399847,-0.0001822877237)	(-0.0001391498201,-0.0005544514233)
	(0.0006289524198,-0.0005516063741)	(-0.000628905557,-0.0006435573002)	(0.0007192415674,6.033162454e-005)	(9.292479722e-005,-0.0006145968898)	(0.00075434082,-0.0003293958074)
	(-0.0003069198043,-0.0007452382347)	(-0.0002171719699,0.0006917890073)	(0.0005411123405,5.548339922e-005)	(9.894943818e-005,-0.0004037991162)	(0.0004251688961,0.0001735214204)
	(0.0002287422541,-0.0002500644054)	(0.0003752509115,6.915446376e-005)	(0.0001143815759,-0.0001969618221)	(-0.0001033470927,0.0008684048217)	(0.0001981670797,0.0001673475377)
	(0.0001729158097,0.0001158261222)	(-4.415270134e-005,0.001013847524)	(0.0002079668668,2.045882933e-005)	(4.643130287e-005,5.725717056e-005)	(-4.666230361e-005,0.001182174879)
	(0.0003208598064,-4.889720915e-006)	(3.540003011e-005,-0.0001760190368)	(0.0002770556174,5.567292509e-005)	(0.0001046604453,-7.557381338e-005)	(0.0002963578839,0.000136203127)
	(0.0001656819341,-5.804655713e-005)	(0.0002106995704,-2.800296373e-006)	(3.263726448e-005,6.142876101e-005)	(0.0004427331967,-5.786772695e-006)	(3.703932077e-005,-0.0003370867447)
	(0.0002028498181,7.093760364e-005)	(8.069393369e-005,8.519787673e-005)	(0.0002378820234,3.730623602e-006)	(5.165110291e-005,-6.114612738e-005)	(0.0002286819143,-1.742525201e-005)
	(1.910316687e-005,3.946735664e-005)	(0.000211179685,-1.254038273e-005)	(1.072415365e-005,7.572738419e-005)	(0.0002212559015,-1.074845597e-005)	(8.76889886e-006,5.401709587e-005)
	(0.0002293218046,-8.520974009e-007)	(1.090901245e-005,-3.728551412e-005)	(0.0003886817603,-0.001217393197)	(-0.001285512898,-0.0004016083831)	(-0.0003466621583,-0.001340914808)
	(-0.001514202619,0.00037605476)	(0.000327829552,-0.001907020711)	(-0.002042416866,-0.0003836301212)	(-0.0002224438977,0.0007451488055)	(-0.0004831142237,-0.001814922263)
	(-0.001952344209,0.0004900912598)	(-0.0002106284612,-0.002394712206)	(-0.002564042786,0.0002214826601)	(0.0003182076124,-0.002448095939)	(-0.002527774441,-0.0003730987633)
	(0.0001428864635,-0.003735250952)	(-0.00386530004,-0.0001884942189)	(-0.0003229021965,-0.003010147673)	(-0.00318419484,0.0003295754169)	(0.0003580757699,-0.003111325641)
	(-0.00319287079,-0.0003850036296)	(-0.0002390276877,0.0009656926093)	(-0.0006599918915,-0.003564552679)	(-0.003748883266,0.0006464276935)	(-0.0008514067732,-0.001009465014)
	(-0.001208506395,0.0008798325827)	(-0.001194121636,-0.004216759617)	(-0.004327850199,0.001189405671)	(0.002886621516,-0.003646324612)	(-0.003694380878,-0.002890380345)
	(-0.001615262136,-0.005259742751)	(-0.005506003937,0.001603913848)	(0.0008938195893,-0.004434648701)	(-0.004521647449,-0.0008959200899)	(-0.0001607947762,-0.005563325213)
	(-0.005748820605,0.0001088414542)	(-0.0001407014023,-0.004417817599)	(-0.004556265439,0.0001355901417)	(-0.0002088895869,0.001138539747)	(0.001165200743,-0.005556924928)
	(-0.005738155636,-0.001231498606)	(0.002470428321,-0.005155575928)	(-0.005283264075,-0.002566139033)	(0.001936863689,-0.004128730316)	(-0.004216711616,-0.001941724804)
	(-0.0005710731455,0.001091027034)	(0.003685719645,-0.002899009823)	(-0.002901201146,-0.003730193305)	(-0.0008559453663,0.0008732631901)	(0.003655995618,-0.004523061645)
	(-0.004646778781,-0.003764300061)	(0.004312485459,-0.001991565855)	(-0.001986369788,-0.004310623623)	(0.004621265217,-0.003616227277)	(-0.003677407005,-0.004725052752)
	(0.0002364995904,-8.533303281e-005)	(-0.0004400874963,-9.704285864e-005)	(0.0002194752878,-0.0001203903357)	(-0.0004946424006,-5.835893004e-005)	(1.712816173e-006,0.001684737185)
	(0.0002590735141,-0.0001030039452)	(-0.0004561562462,-0.0001507732704)	(0.0002610973917,-0.0001476376593)	(-0.0005125121079,-0.0001513908192)	(0.0002164172929,-0.0001695899002)
	(-0.0005456774446,-5.941255546e-005)	(-0.0001355530183,-0.0001733761882)	(-0.0005024108054,0.0004537210031)	(-9.402039914e-005,-5.793752845e-005)	(-0.0003459693387,0.0004496600454)
	(3.450302188e-005,0.001251760443)	(-0.00033587237,2.9219315e-006)	(-0.0002609179759,0.000673585637)	(-0.0002417536904,-0.0002015518935)	(-0.0005207680739,0.0005505197049)
	(-0.0002406841061,-0.0003862950207)	(-0.0007381765113,0.0005014170269)	(-1.967286791e-005,-0.0002457248565)	(-0.0006222404604,0.0002786880392)	(-4.106620608e-005,-0.0004077065196)
	(-0.0007853616323,0.0002593210342)	(-0.0001170110055,-0.0003050286859)	(-0.0006743245705,0.0003648589806)	(4.345357975e-005,0.00132974412)	(4.742081024e-005,-0.000202804787)
	(-0.0005671746672,0.0002136008372)	(1.854993669e-005,0.001423273624)	(4.08934293e-005,-0.0003150457715)	(-0.0007071830876,0.0001817334696)	(0.0001252154205,-0.0002335974827)
	(-0.0006166015387,8.639598806e-005)	(0.0002664442327,-0.0003259349098)	(-0.0007184962621,-0.000146135967)	(0.0002161765103,-0.0002411808685)	(-0.0006198578487,-5.978218192e-005)
	(-1.049488443e-005,0.001538161324)	(0.0002825933191,-0.000216967133)	(-0.0005900779856,-0.0001709709309)	(0.0001686694752,-0.000346907537)	(-0.0007467377958,-8.805992918e-006)
	(0.001562766158,0.001581717588)	(0.00161093403,-0.001385098295)	(0.002102367377,0.00175037901)	(0.001801557686,-0.001933729279)	(0.00247587446,0.001181596861)
	(0.001250745015,-0.002380682417)	(0.001959262191,0.001062167501)	(0.001109740462,-0.001794711587)	(-0.00039849289,0.0003743187655)	(0.000238504195,0.002153929801)
	(0.00213284557,3.688935393e-005)	(0.0008992425512,0.002578841175)	(0.002600185124,-0.0007006241249)	(0.001014284656,0.001978078285)	(0.001991194851,-0.0007838559872)
